# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
1.000000000000000056e-01, 1.455145785206167497e-01, 1.680555590888397482e-02, -3.138447812395924602e-02, -2.870831347997584992e-02, 1.771394475550985143e-02, 1.166913427384032448e-01, 1.135295903193842548e-01, 6.080822403995610193e-02, 1.135644035547194938e-02, 1.038840146991017524e-02, -2.172145204514687455e-02
9.944479457320000160e-01, 1.485009790093949900e-01, 2.123802234221424876e-02, -3.177107001654819879e-02, -2.821316481100847456e-02, 1.753619896102105030e-02, 1.196988446529207578e-01, 1.155236625058057437e-01, 6.177945091809612654e-02, 1.123079617350519928e-02, 9.973426886591132620e-03, -2.077857068310662650e-02
1.893627228199999957e+00, 1.501574817262265049e-01, 1.920524031585930241e-02, -3.163355087373292268e-02, -2.734772979426815243e-02, 1.766005926014857508e-02, 1.224479705277712466e-01, 1.172879159061197551e-01, 6.057907708077085035e-02, 1.171791188776405077e-02, 1.013066679468305024e-02, -2.052806832586212549e-02
2.797562874640000086e+00, 1.493552128165829829e-01, 1.845166999016004811e-02, -3.147116649277932610e-02, -2.650690703167287582e-02, 1.919481833774670104e-02, 1.249053258161084978e-01, 1.182829258940222561e-01, 5.552217399239459811e-02, 1.299039950410147554e-02, 1.094163736225217502e-02, -2.027753932778209728e-02
3.706280044650000161e+00, 1.505712275326279992e-01, 1.861318892356287474e-02, -3.128744037397639816e-02, -2.568553363171952389e-02, 1.963413179757127550e-02, 1.275968453234382627e-01, 1.197995575370207483e-01, 5.374605227862985085e-02, 1.369191386708562552e-02, 1.124075356054535062e-02, -2.002627369220812484e-02
4.619804030920000137e+00, 1.515828783747180108e-01, 1.900541621642290110e-02, -3.108642234610354757e-02, -2.487911006527352559e-02, 2.010987776222652318e-02, 1.301296588578312319e-01, 1.210970049632204976e-01, 5.193909300640892762e-02, 1.443719288700659985e-02, 1.155468995829582457e-02, -1.977414129782952695e-02
5.538160259939999719e+00, 1.525664568378974906e-01, 1.950418288667122441e-02, -3.087032565425525121e-02, -2.408542579612510046e-02, 2.047872709097720012e-02, 1.324929325036112437e-01, 1.222233317648864920e-01, 5.041664948899427651e-02, 1.514248005729720153e-02, 1.181462399231437456e-02, -1.952113011219389765e-02
6.461374292690000409e+00, 1.534405794940412460e-01, 2.004061462319622205e-02, -3.064070317852360045e-02, -2.330313143010225019e-02, 2.076401989670107612e-02, 1.346557909431392586e-01, 1.231455418174489946e-01, 4.907982631239392324e-02, 1.581634735980552361e-02, 1.202899970335392574e-02, -1.926727039078314843e-02
7.389471825360000246e+00, 1.541725050290412569e-01, 2.058315023347257605e-02, -3.039868346694619972e-02, -2.253136970728657554e-02, 2.097025541094999987e-02, 1.366027578375447471e-01, 1.238534981621232517e-01, 4.788875414606964809e-02, 1.645751169589115132e-02, 1.219838731450485075e-02, -1.901260149123944893e-02
8.322478690060000517e+00, 1.547434694533220134e-01, 2.111519317815662572e-02, -3.014510625799097371e-02, -2.176956648487694823e-02, 2.110107041455192359e-02, 1.383268894229182644e-01, 1.243458869793530180e-01, 4.681416259436262800e-02, 1.706468674564767807e-02, 1.232350017068747569e-02, -1.875715902984595104e-02
9.260420855570000498e+00, 1.551434756534542381e-01, 2.162741937231387607e-02, -2.988061719959552581e-02, -2.101733004628162510e-02, 2.116029926637947797e-02, 1.398271729012232345e-01, 1.246269521309705114e-01, 4.583282636664419429e-02, 1.763711420111574793e-02, 1.240553165259427465e-02, -1.850097473357205022e-02
1.020332442800000017e+01, 1.553684147354567613e-01, 2.211438442672495133e-02, -2.960572839941247661e-02, -2.027439450034674781e-02, 2.115199185435617454e-02, 1.411065304729740011e-01, 1.247043533628907352e-01, 4.492594572855446861e-02, 1.817452928280142294e-02, 1.244606278958382446e-02, -1.824407769907207544e-02
1.115121565159999939e+01, 1.554181782172644744e-01, 2.257286546037640118e-02, -2.932085796652732224e-02, -1.954058533484345078e-02, 2.108024825771574740e-02, 1.421703553189059832e-01, 1.245877282192369984e-01, 4.407827299113020042e-02, 1.867702300802252802e-02, 1.244691548576190056e-02, -1.798649560563042593e-02
1.210412090930000062e+01, 1.552953523555100079e-01, 2.300098186605480099e-02, -2.902635648920055128e-02, -1.881579707679690086e-02, 2.094907629927962589e-02, 1.430254897087505084e-01, 1.242877442042700092e-01, 4.327747089367230127e-02, 1.914491568592219944e-02, 1.241003409727857443e-02, -1.772825562065912658e-02
1.306206672379999922e+01, 1.550043033997497433e-01, 2.339769771339707607e-02, -2.872252522528017521e-02, -1.809997804606757604e-02, 2.076230650772937364e-02, 1.436795373865444869e-01, 1.238154875240349978e-01, 4.251358198523532556e-02, 1.957866397247320228e-02, 1.233740516694637607e-02, -1.746938501806100108e-02
1.402507975800000040e+01, 1.545505372882867434e-01, 2.376252515673154750e-02, -2.840962891252605052e-02, -1.739311951311659984e-02, 2.052355425903242686e-02, 1.441404138436560012e-01, 1.231820778332870098e-01, 4.177858299632595390e-02, 1.997879827759845017e-02, 1.223100749410962508e-02, -1.720991158376697361e-02
1.499318681579999968e+01, 1.539402538132929876e-01, 2.409534020520434985e-02, -2.808790501021424940e-02, -1.669524772984257513e-02, 2.023621267995635159e-02, 1.444160602153137518e-01, 1.223984323263619944e-01, 4.106601518174629595e-02, 2.034588260063852419e-02, 1.209278311862734857e-02, -1.694986387492522506e-02
1.596641484290000079e+01, 1.531800384001044957e-01, 2.439626444219769597e-02, -2.775757052921699886e-02, -1.600641791720307586e-02, 1.990346308390507704e-02, 1.445142672785870164e-01, 1.214751273115605018e-01, 4.037068230681727099e-02, 2.068048965380044762e-02, 1.192462180854677624e-02, -1.668927138740814928e-02
1.694479092759999972e+01, 1.522766509361715148e-01, 2.466558703073767206e-02, -2.741882720311442784e-02, -1.532670963215404872e-02, 1.952829417699214823e-02, 1.444425725387220028e-01, 1.204223227748920100e-01, 3.968840665520292910e-02, 2.098318605569235440e-02, 1.172835397006699934e-02, -1.642816466833127431e-02
