# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
1.000000000000000056e-01, 2.645597437800267793e-01, 3.115826648893790188e-03, -6.447779029012309926e-02, -4.377255758218219495e-02, 3.028425251564945131e-02, 2.211172987085505137e-01, 1.970673476137797531e-01, 1.109348413226602520e-01, 7.255796675234929723e-03, 4.925541874484474711e-03, -1.244467094559477405e-02
9.944479457320000160e-01, 2.705567284874007550e-01, 3.716681056998687345e-03, -6.550376082936530675e-02, -4.364455471390962793e-02, 2.919965881572432476e-02, 2.246084923498949948e-01, 2.002396943705657684e-01, 1.162652703371087476e-01, 6.860444348390837277e-03, 4.570792798363080243e-03, -1.203732094766764987e-02
1.893627228199999957e+00, 2.722811089589362021e-01, 3.232828412620752760e-03, -6.535977698968262195e-02, -4.284444289634530001e-02, 2.811511619799147293e-02, 2.252891975086687426e-01, 2.008290279926804867e-01, 1.184439924980207476e-01, 6.746654629253847311e-03, 4.422282890091500107e-03, -1.197594458872645005e-02
2.797562874640000086e+00, 2.675450286059884997e-01, 2.985942545392642616e-03, -6.519289889725472797e-02, -4.207681452392177113e-02, 3.006489319761292134e-02, 2.261334986449445028e-01, 1.989559172030282430e-01, 1.100006414520477427e-01, 7.261518187973299912e-03, 4.686436816320430077e-03, -1.191455682711912642e-02
3.706280044650000161e+00, 2.668795185011204607e-01, 2.909165282184219582e-03, -6.500512123990179192e-02, -4.133323987353792334e-02, 3.011883196740540100e-02, 2.268696801062942692e-01, 1.986522469472807306e-01, 1.082371100383877488e-01, 7.384313329521782245e-03, 4.694976373401750502e-03, -1.185288630185472522e-02
4.619804030920000137e+00, 2.661809503981029668e-01, 2.881921355768220401e-03, -6.480114265839861942e-02, -4.060737958921499524e-02, 3.019196680043585018e-02, 2.275926356944452389e-01, 1.983317460883737282e-01, 1.064375191048054919e-01, 7.512368850394764326e-03, 4.707270767918282292e-03, -1.179095717768629918e-02
5.538160259939999719e+00, 2.655873305443799959e-01, 2.878496389439142746e-03, -6.458391108769392930e-02, -3.989577650220214877e-02, 3.019798634597442577e-02, 2.282707108823540110e-01, 1.980397185339112520e-01, 1.048642317654252532e-01, 7.627719754493054657e-03, 4.711571764844465007e-03, -1.172879625214004982e-02
6.461374292690000409e+00, 2.650413368329677666e-01, 2.887294133248182338e-03, -6.435531031265936952e-02, -3.919606363539775151e-02, 3.016751195633014804e-02, 2.289138640821412607e-01, 1.977556445434932308e-01, 1.034131651346374969e-01, 7.736667812347534749e-03, 4.711714942293802541e-03, -1.166640619868489909e-02
7.389471825360000246e+00, 2.645187059984137612e-01, 2.902918312286290135e-03, -6.411664935581337654e-02, -3.850654224825832139e-02, 3.011348029357280298e-02, 2.295272179568612347e-01, 1.974704342005317581e-01, 1.020397599351042517e-01, 7.841895192881370366e-03, 4.709233072284247333e-03, -1.160378394971022659e-02
8.322478690060000517e+00, 2.640072514857977892e-01, 2.922586469227812442e-03, -6.386888591612295552e-02, -3.782594259760752031e-02, 3.004212594351107421e-02, 2.301135053342300008e-01, 1.971791730233927453e-01, 1.007218247109187143e-01, 7.944708202166710434e-03, 4.704811589520680251e-03, -1.154092496850510005e-02
9.260420855570000498e+00, 2.635000698712712253e-01, 2.944748680863795102e-03, -6.361274945619424526e-02, -3.715328646015432501e-02, 2.995667634355410336e-02, 2.306741494470697651e-01, 1.968788164473894986e-01, 9.944717394625395002e-02, 8.045790362105275165e-03, 4.698768292618919415e-03, -1.147782473027437501e-02
1.020332442800000017e+01, 2.629928175799410295e-01, 2.968487724888620172e-03, -6.334881309414122641e-02, -3.648780217948417726e-02, 2.985887629495075080e-02, 2.312098028168902697e-01, 1.965672635166917648e-01, 9.820856892564984453e-02, 8.145513725346050643e-03, 4.691246913833417402e-03, -1.141447916237492421e-02
1.115121565159999939e+01, 2.624824891556449824e-01, 2.993233656674765004e-03, -6.307753818179069605e-02, -3.582886947840950576e-02, 2.974968683217307439e-02, 2.317206350435427331e-01, 1.962429352738612742e-01, 9.700140809437046707e-02, 8.244082250233323444e-03, 4.682303678759372999e-03, -1.135088472478227445e-02
1.210412090930000062e+01, 2.619668233092492526e-01, 3.018617719228997454e-03, -6.279930338785134902e-02, -3.517598215999267336e-02, 2.962963195832662294e-02, 2.322064978940782398e-01, 1.959045656895757603e-01, 9.582258313642152969e-02, 8.341603427188176711e-03, 4.671949043851277537e-03, -1.128703837331157533e-02
1.306206672379999922e+01, 2.614439959322250040e-01, 3.044392989028964561e-03, -6.251442448775790250e-02, -3.452872205536870048e-02, 2.949898230308234739e-02, 2.326670270136057261e-01, 1.955510913473700041e-01, 9.466987360610082392e-02, 8.438126565137059332e-03, 4.660169082437947558e-03, -1.122293749231175093e-02
1.402507975800000040e+01, 2.609124537625705509e-01, 3.070389094892107817e-03, -6.222316830844949048e-02, -3.388674031170529899e-02, 2.935785804663097395e-02, 2.331017089023579847e-01, 1.951815905169594911e-01, 9.354160820945786603e-02, 8.533664495535015632e-03, 4.646937015094462428e-03, -1.115857982642082420e-02
1.499318681579999968e+01, 2.603708209703755050e-01, 3.096485287712459709e-03, -6.192576284626359617e-02, -3.324974362427704500e-02, 2.920628952781832710e-02, 2.335099276462607176e-01, 1.947952483260767531e-01, 9.243646607301375662e-02, 8.628206536807500604e-03, 4.632219701235890455e-03, -1.109396342064837386e-02
1.596641484290000079e+01, 2.598178453029449941e-01, 3.122593851112479869e-03, -6.162240479221409856e-02, -3.261748389180834512e-02, 2.904425451501350258e-02, 2.338909990708145092e-01, 1.943913362822002333e-01, 9.135335535839839149e-02, 8.721726609657608209e-03, 4.615981428984342744e-03, -1.102908657058910072e-02
1.694479092759999972e+01, 2.592523664775392422e-01, 3.148649569738442081e-03, -6.131326524887881907e-02, -3.198975029968045142e-02, 2.887170198744384852e-02, 2.342441965685017335e-01, 1.939691998893892655e-01, 9.029133660359105196e-02, 8.814188532105401985e-03, 4.598186192226635417e-03, -1.096394778240802545e-02
1.792834230149999897e+01, 2.586732974314417954e-01, 3.174602867142742486e-03, -6.099849415548794229e-02, -3.136636316294932197e-02, 2.868856776404114794e-02, 2.345687710668429848e-01, 1.935282508864314965e-01, 8.924957301685149114e-02, 8.905549598167410152e-03, 4.578799084441567170e-03, -1.089854573953319937e-02
1.891709634000000051e+01, 2.580796131399025195e-01, 3.200415232528877954e-03, -6.067822376723914363e-02, -3.074716906793674778e-02, 2.849478498935532553e-02, 2.348639666435682616e-01, 1.930679621185362460e-01, 8.822729762573863765e-02, 8.995763068040318541e-03, 4.557787156997612603e-03, -1.083287927718305094e-02
1.991108056359999878e+01, 2.574703439290325080e-01, 3.226056112203117606e-03, -6.035257143138917507e-02, -3.013203698934507554e-02, 2.829029123951432370e-02, 2.351290327582355177e-01, 1.925878638800939957e-01, 8.722379132852657591e-02, 9.084779936196630060e-03, 4.535119938692587852e-03, -1.076694736114960048e-02
2.091032263820000026e+01, 2.568445714513942213e-01, 3.251500759650399926e-03, -6.002164183084841842e-02, -2.952085515214224881e-02, 2.807503332622575051e-02, 2.353632337697719734e-01, 1.920875410471822586e-01, 8.623836819533717279e-02, 9.172550203080866160e-03, 4.510769734223579915e-03, -1.070074907064222369e-02
2.191485037620000043e+01, 2.562014262114500340e-01, 3.276728725596695160e-03, -5.968552881731314930e-02, -2.891352846809484844e-02, 2.784897047836817560e-02, 2.355658562232407494e-01, 1.915666306009767561e-01, 8.527036570885426769e-02, 9.259023792519907245e-03, 4.484711773298504824e-03, -1.063428358461259923e-02
2.292469173710000163e+01, 2.555400859583404904e-01, 3.301722782914955079e-03, -5.934431692566057709e-02, -2.830997642332522615e-02, 2.761207635644027242e-02, 2.357362142879109723e-01, 1.910248193179269749e-01, 8.431913842164076578e-02, 9.344151209301194624e-03, 4.456924256912847028e-03, -1.056755017078924927e-02
2.393987482800000066e+01, 2.548597745243695312e-01, 3.326468151566995025e-03, -5.899808263613844778e-02, -2.771013132251889943e-02, 2.736434020914110116e-02, 2.358736536481052526e-01, 1.904618415051599900e-01, 8.338405400685698632e-02, 9.427884000508229834e-03, 4.427388331241927100e-03, -1.050054817639462651e-02
2.496042790510000131e+01, 2.541597608537344843e-01, 3.350951933478279934e-03, -5.864689543560010210e-02, -2.711393681818649939e-02, 2.710576739762817627e-02, 2.359775541096107432e-01, 1.898774767265180019e-01, 8.246449098326728844e-02, 9.510175067780863439e-03, 4.396088011188400285e-03, -1.043327702103642382e-02
2.598637937370000017e+01, 2.534393580685955216e-01, 3.375162696050849898e-03, -5.829081871768940215e-02, -2.652134667155050390e-02, 2.683637945461942592e-02, 2.360473311414680031e-01, 1.892715475007912262e-01, 8.155983760736124077e-02, 9.590978863653515027e-03, 4.363010068941318431e-03, -1.036573619015487488e-02
2.701775778969999919e+01, 2.526979224866952034e-01, 3.399090162081012251e-03, -5.792991055049474813e-02, -2.593232370028274864e-02, 2.655621380388259803e-02, 2.360824365474057662e-01, 1.886439169767387680e-01, 8.066949156213756855e-02, 9.670251499257213196e-03, 4.328143899566979508e-03, -1.029792523036647534e-02
2.805459185979999859e+01, 2.519348525480382683e-01, 3.422724976594210267e-03, -5.756422433722692411e-02, -2.534683888155825002e-02, 2.626532324155427325e-02, 2.360823584368854922e-01, 1.879944866004842341e-01, 7.979286017201954462e-02, 9.747950783378905165e-03, 4.291481372511360068e-03, -1.022984374531750104e-02
