# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
4.998254114129999692e+01, 1.710826940951705177e-01, 1.025070869332500058e-02, -3.147500800888962391e-02, -6.522343762744512406e-03, 1.036719371648875745e-02, 1.741169561157585033e-01, 1.262253316774277490e-01, 4.182310049406860047e-02, 1.647980840533135038e-02, 3.412235134330222734e-03, -9.965396669108571998e-03
5.114085139529999680e+01, 1.691144390456409963e-01, 1.023767149091354967e-02, -3.098972366697045136e-02, -6.056996897078457780e-03, 9.716930987815054072e-03, 1.724355343042614785e-01, 1.246079539392497548e-01, 4.118538994363794836e-02, 1.643538040798067298e-02, 3.209495679235934568e-03, -9.822768494245114404e-03
5.230528873130000278e+01, 1.671087182412975269e-01, 1.022081495254552504e-02, -3.050062055023162674e-02, -5.599421131094654489e-03, 9.064144195483753857e-03, 1.706958145545395267e-01, 1.229741134738369934e-01, 4.054750854902176849e-02, 1.638259276689500027e-02, 3.004681539747399918e-03, -9.679928879996951147e-03
5.347588555950000000e+01, 1.650665871885744762e-01, 1.020014402660239863e-02, -3.000780206535212657e-02, -5.149747022096402491e-03, 8.409666282894244158e-03, 1.688987348084984852e-01, 1.213250574084140110e-01, 3.990938225396024885e-02, 1.632144214279482308e-02, 2.798015347191267540e-03, -9.536890370124995880e-03
5.465267446160000020e+01, 1.629891041493287673e-01, 1.017566419611954862e-02, -2.951137553508369898e-02, -4.708106857497777742e-03, 7.754342967760933028e-03, 1.670452477729177654e-01, 1.196620065647704956e-01, 3.927095405359922603e-02, 1.625192772776344954e-02, 2.589722800747254992e-03, -9.393665909568155864e-03
5.583568819159999919e+01, 1.608773305185079994e-01, 1.014738150075009115e-02, -2.901145238471734833e-02, -4.274634531846352795e-03, 7.099032921524167650e-03, 1.651363231529412445e-01, 1.179861550826822453e-01, 3.863218289291754648e-02, 1.617405150325587626e-02, 2.380032772434547556e-03, -9.250268854763345899e-03
5.702495967689999645e+01, 1.587323312498920003e-01, 1.011530256229399571e-02, -2.850814832927090273e-02, -3.849465420860624827e-03, 6.444607868775439376e-03, 1.631729499324202359e-01, 1.162986699889919928e-01, 3.799304266878057029e-02, 1.608781850770394858e-02, 2.169177405072864571e-03, -9.106712984289258919e-03
5.822052201889999878e+01, 1.565551753222042541e-01, 1.007943461355396107e-02, -2.800158356191257553e-02, -3.432736252084545112e-03, 5.791952603709007649e-03, 1.611561386984067534e-01, 1.146006907099050010e-01, 3.735352132538139608e-02, 1.599323711411660201e-02, 1.957392202881730152e-03, -8.963012509944107142e-03
5.942240849419999904e+01, 1.543469362390237354e-01, 1.003978553038048678e-02, -2.749188294454630102e-02, -3.024584971204614860e-03, 5.141964919151457807e-03, 1.590869240064050061e-01, 1.128933285243265000e-01, 3.671362003546919939e-02, 1.589031931740784997e-02, 1.744916113963222541e-03, -8.819182087790974206e-03
6.063065255539999754e+01, 1.521086925573305049e-01, 9.996363866831649292e-03, -2.697917619923072621e-02, -2.625150603480877823e-03, 4.495555444455732672e-03, 1.569663667852757571e-01, 1.111776659588830096e-01, 3.607335245751834563e-02, 1.577908103227317754e-02, 1.531991604376789842e-03, -8.675236829879513431e-03
6.184528783209999858e+01, 1.498415284400832492e-01, 9.949178893326495604e-03, -2.646359810312860078e-02, -2.234573109720232580e-03, 3.853647387495507878e-03, 1.547955567793059817e-01, 1.094547561225640009e-01, 3.543274406417287747e-02, 1.565954240140952566e-02, 1.318864723076252406e-03, -8.531192315836358744e-03
6.306634813160000164e+01, 1.475465342285622317e-01, 9.898240637699682112e-03, -2.594528868437587232e-02, -1.852993235929370052e-03, 3.217176175862094829e-03, 1.525756150262257693e-01, 1.077256219830482614e-01, 3.479183153258347261e-02, 1.553172811497792460e-02, 1.105785157250533095e-03, -8.387064605253000127e-03
