# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.606875000074687136e+02, 3.167237287092442531e-03
9.944479457320000160e-01, 1.142664858693299923e+00, 8.762971638835712618e-01, 1.439993021194549971e+00, 2.609943407234985102e+02, 1.058771046427094999e-02
1.893627228199999957e+00, 1.542348260262885074e+00, 1.175624502637395041e+00, 1.939312128778190036e+00, 2.611044948388797593e+02, 2.352522630879460078e-02
2.797562874640000086e+00, 1.776415204419942384e+00, 1.347069473896857605e+00, 2.229405243792172531e+00, 2.611684174522442277e+02, 2.714593459411390047e-02
3.706280044650000161e+00, 1.963422771363977581e+00, 1.481496617634887603e+00, 2.459646726152215024e+00, 2.612172502798667324e+02, 3.549386373835650144e-02
4.619804030920000137e+00, 2.114060138154862489e+00, 1.587752104486665150e+00, 2.643900161100032342e+00, 2.612565077388770192e+02, 4.282352776805738170e-02
5.538160259939999719e+00, 2.242903354076609901e+00, 1.676972013227952418e+00, 2.800509223275522430e+00, 2.612900128728364848e+02, 4.987019385546120204e-02
6.461374292690000409e+00, 2.356836032896402422e+00, 1.754438431861875092e+00, 2.938151107549867636e+00, 2.613196418010122670e+02, 5.657283536665674850e-02
7.389471825360000246e+00, 2.460034128272484910e+00, 1.823342072360017330e+00, 3.062082007437617381e+00, 2.613465074112192497e+02, 6.292546880882121663e-02
8.322478690060000517e+00, 2.555199944868480344e+00, 1.885739381029380102e+00, 3.175698692394300249e+00, 2.613713210669927207e+02, 6.893653281282149936e-02
9.260420855570000498e+00, 2.644177849421847526e+00, 1.943027782499087364e+00, 3.281316254195972615e+00, 2.613945644323722490e+02, 7.462160200445977498e-02
1.020332442800000017e+01, 2.728280214624200006e+00, 1.996196786554592428e+00, 3.380579535455272122e+00, 2.614165784795452510e+02, 8.000004122840682907e-02
1.115121565159999939e+01, 2.808472449206279808e+00, 2.045970322672167274e+00, 3.474696556155467242e+00, 2.614376132727020376e+02, 8.509296957722670141e-02
1.210412090930000062e+01, 2.885484286720072955e+00, 2.092892225582777321e+00, 3.564578835275690416e+00, 2.614578575723682548e+02, 8.992190160276254673e-02
1.306206672379999922e+01, 2.959879975325804935e+00, 2.137380067924965044e+00, 3.650929840972357177e+00, 2.614774573343149768e+02, 9.450783467916500091e-02
1.402507975800000040e+01, 3.032104320930214758e+00, 2.179760413043092537e+00, 3.734302975828697413e+00, 2.614965277501095215e+02, 9.887066499143025433e-02
1.499318681579999968e+01, 3.102513898953075167e+00, 2.220292666933660009e+00, 3.815140857102429894e+00, 2.615151613555154881e+02, 1.030288509646377498e-01
1.596641484290000079e+01, 3.171398806151159988e+00, 2.259185666849724772e+00, 3.893802671707099705e+00, 2.615334336505025021e+02, 1.069992582442267498e-01
1.694479092759999972e+01, 3.238998181143197375e+00, 2.296609492240115014e+00, 3.970583680234519797e+00, 2.615514070918737275e+02, 1.107971314986850031e-01
1.792834230149999897e+01, 3.305511505525102312e+00, 2.332704045900594991e+00, 4.045729408200415378e+00, 2.615691339910717375e+02, 1.144361489064165127e-01
1.891709634000000051e+01, 3.371106979200185094e+00, 2.367585399680382174e+00, 4.119446155950314825e+00, 2.615866586571981998e+02, 1.179285258237569994e-01
1.991108056359999878e+01, 3.435927824688462362e+00, 2.401350560956255098e+00, 4.191908904697032590e+00, 2.616040190083949710e+02, 1.212851434969030029e-01
2.091032263820000026e+01, 3.500097098800687423e+00, 2.434081103234940091e+00, 4.263267347354729786e+00, 2.616212478016115028e+02, 1.245156863409937475e-01
2.191485037620000043e+01, 3.563721411290859731e+00, 2.465845966661130095e+00, 4.333650547277842158e+00, 2.616383735838079474e+02, 1.276287773737770082e-01
2.292469173710000163e+01, 3.626893831643667632e+00, 2.496703643151002350e+00, 4.403170578622944475e+00, 2.616554214367154714e+02, 1.306321056370097489e-01
2.393987482800000066e+01, 3.689696185057757649e+00, 2.526703899382382268e+00, 4.471925401091715102e+00, 2.616724135665009499e+02, 1.335325424451382359e-01
2.496042790510000131e+01, 3.752200883467560200e+00, 2.555889148562604962e+00, 4.540001152260797923e+00, 2.616893697754442201e+02, 1.363362452900787336e-01
2.598637937370000017e+01, 3.814472398794627406e+00, 2.584295552329880064e+00, 4.607473992050541867e+00, 2.617063078428367362e+02, 1.390487493417812415e-01
2.701775778969999919e+01, 3.876568458160829955e+00, 2.611953913179782649e+00, 4.674411599345214441e+00, 2.617232438352897930e+02, 1.416750471248874876e-01
2.805459185979999859e+01, 3.938541020928199465e+00, 2.638890402700714954e+00, 4.740874395822105569e+00, 2.617401923616147315e+02, 1.442196576428659838e-01
2.909691044250000047e+01, 4.000437083108295155e+00, 2.665127159986612426e+00, 4.806916554044727619e+00, 2.617571667837884775e+02, 1.466866861071889905e-01
3.014474254929999830e+01, 4.062299344051339745e+00, 2.690682786530754989e+00, 4.872586833533490314e+00, 2.617741793928437346e+02, 1.490798750398544814e-01
3.119811734479999998e+01, 4.124166762344384729e+00, 2.715572757884742394e+00, 4.937929278532157795e+00, 2.617912415565057245e+02, 1.514026482725280010e-01
3.225706414799999777e+01, 4.186075021969976717e+00, 2.739809767903484961e+00, 5.002983803811062558e+00, 2.618083638439264860e+02, 1.536581487351007524e-01
3.332161243310000032e+01, 4.248056925233347769e+00, 2.763404017981347494e+00, 5.067786689164922365e+00, 2.618255561317037632e+02, 1.558492709124977560e-01
3.439179183000000251e+01, 4.310142725526970864e+00, 2.786363461092295157e+00, 5.132370998958100117e+00, 2.618428276945372772e+02, 1.579786887500649883e-01
3.546763212540000154e+01, 4.372360410368276717e+00, 2.808694008457549796e+00, 5.196766939771487515e+00, 2.618601872831754918e+02, 1.600488796955297499e-01
3.654916326370000235e+01, 4.434735943054512575e+00, 2.830399705103384900e+00, 5.261002166596152385e+00, 2.618776431918087724e+02, 1.620621454735992617e-01
3.763641534770000163e+01, 4.497293469666018062e+00, 2.851482879362535083e+00, 5.325102046004082545e+00, 2.618952033166380033e+02, 1.640206300408219853e-01
3.872941863909999682e+01, 4.560055496906584516e+00, 2.871944270430237367e+00, 5.389089883168402650e+00, 2.619128752070497512e+02, 1.659263351660645036e-01
3.982820355999999862e+01, 4.623043045248560468e+00, 2.891783137326225273e+00, 5.452987118333595618e+00, 2.619306661105504759e+02, 1.677811340161800002e-01
4.093280069330000259e+01, 4.686275781024674458e+00, 2.910997352006040373e+00, 5.516813497311522596e+00, 2.619485830124294807e+02, 1.695867829716914965e-01
