# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
1.000000000000000056e-01, 2.178470294073869828e-01, 2.183612098302707416e-01, -4.606876295338962471e-04, 4.201844084708670352e-02, 4.162167918033097928e-03, 4.675550206759959519e-03, 3.165112446466952691e-05
9.944479457320000160e-01, 6.663940900977924353e-02, 7.548181135782844331e-02, -4.456079940253355044e-04, -4.093887897868097139e-05, 1.244993974810687477e-03, 1.885154992616029949e-03, -1.116295053992900026e-04
1.893627228199999957e+00, 3.019517290056822345e-02, 3.723052811428820275e-02, -4.433359105125637793e-04, -1.580850533588447262e-03, 5.918107711280394751e-04, 8.036601489002971350e-04, 1.106052892530622530e-05
2.797562874640000086e+00, 2.389674814535382510e-02, 2.446149693495675015e-02, -4.410634049957372523e-04, 1.061782564524682473e-03, 4.345187706201647428e-04, 4.963362115063555064e-04, 4.071939057351580467e-05
3.706280044650000161e+00, 1.799996795126619989e-02, 1.812803030829755052e-02, -4.387804319208042409e-04, -7.383530763791588806e-05, 3.279850893940957344e-04, 3.592630513392707989e-04, 1.468979980038884875e-05
4.619804030920000137e+00, 1.458870367213429935e-02, 1.442558277069167644e-02, -4.364878858264124905e-04, -2.861709974750077776e-06, 2.661259339732695230e-04, 2.839538608752415188e-04, 1.002824710368593009e-05
5.538160259939999719e+00, 1.229004401516340002e-02, 1.199876166945944983e-02, -4.341867587180279998e-04, -1.711785788302062255e-05, 2.250459572300442506e-04, 2.364310507385867534e-04, 6.917551725716593008e-06
6.461374292690000409e+00, 1.064177337928680009e-02, 1.028685987143027579e-02, -4.318771495600757485e-04, -2.328149451359159798e-05, 1.958676826748207670e-04, 2.037372815797714939e-04, 5.091201482035085518e-06
7.389471825360000246e+00, 9.403991539483040271e-03, 9.014958386339574914e-03, -4.295589447912732343e-04, -2.625403953800265267e-05, 1.741092998592712663e-04, 1.798676099827127279e-04, 3.922951844485447054e-06
8.322478690060000517e+00, 8.441078769025745290e-03, 8.032818234059950838e-03, -4.272319764661389879e-04, -2.774185973641947776e-05, 1.572785246687212642e-04, 1.616705195105945254e-04, 3.123218645939062858e-06
9.260420855570000498e+00, 7.670909837691114452e-03, 7.251512691684171633e-03, -4.248960770787932914e-04, -2.850704440996765004e-05, 1.438828289445007310e-04, 1.473357318607064893e-04, 2.544538810249119925e-06
1.020332442800000017e+01, 7.040962979864947430e-03, 6.615085258530123240e-03, -4.225510958670045071e-04, -2.892185362710002235e-05, 1.329752583375007444e-04, 1.357498633010829957e-04, 2.106231418545732412e-06
1.115121565159999939e+01, 6.516131829749485793e-03, 6.086580362493827778e-03, -4.201969017826857563e-04, -2.917599713119154773e-05, 1.239266065736679815e-04, 1.261905588615515013e-04, 1.761485954131082445e-06
1.210412090930000062e+01, 6.072080581874510045e-03, 5.640614971128991850e-03, -4.178333821289755392e-04, -2.936682907934132285e-05, 1.163027117583822524e-04, 1.181686164921330026e-04, 1.481779848303840144e-06
1.306206672379999922e+01, 5.691417190994309608e-03, 5.259179789249717775e-03, -4.154604400820527594e-04, -2.954241124790365041e-05, 1.097944334746100064e-04, 1.113408673662807561e-04, 1.248996920521697411e-06
1.402507975800000040e+01, 5.361386060480555563e-03, 4.929143813001250068e-03, -4.130779921493382472e-04, -2.972356220758270035e-05, 1.041757295297004955e-04, 1.054594066633735022e-04, 1.051211984734082425e-06
1.499318681579999968e+01, 5.072421678288394770e-03, 4.640707613026484601e-03, -4.106859659587875017e-04, -2.991580475067277838e-05, 9.927752102949414484e-05, 1.003406349946141328e-04, 8.803260039302357780e-07
1.596641484290000079e+01, 4.817211129064662666e-03, 4.386409828329497843e-03, -4.082842984190084945e-04, -3.011615169681997604e-05, 9.497082763289335118e-05, 9.584564290824792098e-05, 7.306834695266669941e-07
1.694479092759999972e+01, 4.590068549897676972e-03, 4.160469108520506790e-03, -4.058729342211122464e-04, -3.031710669504109894e-05, 9.115555523541953508e-05, 9.186736813297007791e-05, 5.982345159292730675e-07
1.792834230149999897e+01, 4.386506976271777915e-03, 3.958336448010331757e-03, -4.034518246346265177e-04, -3.050908908712735284e-05, 8.775284487152799982e-05, 8.832194501627347000e-05, 4.800109252154912056e-07
1.891709634000000051e+01, 4.202938624848934560e-03, 3.776383423693472144e-03, -4.010209265416159793e-04, -3.068192411058272702e-05, 8.469973054213460867e-05, 8.514273134350644479e-05, 3.737893268697632394e-07
1.991108056359999878e+01, 4.036460836978806969e-03, 3.611680527418867186e-03, -3.985802016499100358e-04, -3.082575942233977550e-05, 8.194533240554067652e-05, 8.227609267125671883e-05, 2.778693433276659987e-07
2.091032263820000026e+01, 3.884700428633497665e-03, 3.461836616054032260e-03, -3.961296158768915334e-04, -3.093161493358580151e-05, 7.944809421951675311e-05, 7.967836868511414105e-05, 1.909243256126134926e-07
2.191485037620000043e+01, 3.745698658765032538e-03, 3.324880683391632456e-03, -3.936691388299749968e-04, -3.099169116969314965e-05, 7.717374545170390646e-05, 7.731365189999510942e-05, 1.118990630668625493e-07
2.292469173710000163e+01, 3.617824958005647421e-03, 3.199173485423152663e-03, -3.911987433966079885e-04, -3.099951898224182438e-05, 7.509377555122707427e-05, 7.515213556117615037e-05, 3.993843921649517692e-08
2.393987482800000066e+01, 3.499711354006462567e-03, 3.083340578665645301e-03, -3.887184054203487418e-04, -3.094999902072145223e-05, 7.318427618634265846e-05, 7.316886740182986177e-05, -2.566293932272203443e-08
2.496042790510000131e+01, 3.390202014884689981e-03, 2.976220952518637657e-03, -3.862281034038369957e-04, -3.083937092928900063e-05, 7.142505184216582908e-05, 7.134279740493758098e-05, -8.549688123854043227e-08
2.598637937370000017e+01, 3.288313987596707278e-03, 2.876827176333964994e-03, -3.837278183048789841e-04, -3.066513483846657631e-05, 6.979892888179920797e-05, 6.965604163183667557e-05, -1.400677651813125128e-07
2.701775778969999919e+01, 3.193206330655009532e-03, 2.784314157561082644e-03, -3.812175333432002715e-04, -3.042594330511314688e-05, 6.829121319563215579e-05, 6.809330694457114638e-05, -1.898116761906229865e-07
2.805459185979999859e+01, 3.104155615890492621e-03, 2.697954415144925185e-03, -3.786972338403914911e-04, -3.012147854336697631e-05, 6.688926043379135665e-05, 6.664143699491165270e-05, -2.351105936499832517e-07
