# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.563750278326149896e+02, 6.853575386131060057e-03
9.944479457320000160e-01, 9.039954427844207885e-01, 8.210607592646269604e-01, 1.221210148438752530e+00, 2.568493028754120360e+02, 2.252657020945482771e-02
1.893627228199999957e+00, 1.236519914792897357e+00, 1.113710647315810043e+00, 1.664134256417837410e+00, 2.570289606424447584e+02, 4.652679610818177131e-02
2.797562874640000086e+00, 1.443474841010662368e+00, 1.290532959424605108e+00, 1.936261226573272598e+00, 2.571394517490912222e+02, 5.311995624519119663e-02
3.706280044650000161e+00, 1.614101779934697500e+00, 1.432624753074532631e+00, 2.158182774060757758e+00, 2.572271710436945114e+02, 6.782067702603682136e-02
4.619804030920000137e+00, 1.757314191183612540e+00, 1.548818171838477475e+00, 2.342436120940642574e+00, 2.573009216487257618e+02, 7.911356649588444090e-02
5.538160259939999719e+00, 1.885074335825274838e+00, 1.649847128090415005e+00, 2.505098371099370169e+00, 2.573666574960935236e+02, 8.937422621086718588e-02
6.461374292690000409e+00, 2.002578880405197825e+00, 1.740412266860650092e+00, 2.653181984604697341e+00, 2.574271862531027182e+02, 9.851746920837815835e-02
7.389471825360000246e+00, 2.113008439308932562e+00, 1.823359528875130087e+00, 2.790960846890847336e+00, 2.574841744975198026e+02, 1.067094101134327400e-01
8.322478690060000517e+00, 2.218389885547492391e+00, 1.900485893252815028e+00, 2.921150115891575361e+00, 2.575386769830977300e+02, 1.141007975739125047e-01
9.260420855570000498e+00, 2.320087937396737132e+00, 1.972987986763210078e+00, 3.045571685208902757e+00, 2.575914016709807584e+02, 1.208162817915335030e-01
1.020332442800000017e+01, 2.419063859385877535e+00, 2.041697086333322808e+00, 3.165503672771075028e+00, 2.576428463072514887e+02, 1.269555389258885114e-01
1.115121565159999939e+01, 2.516020578201407787e+00, 2.107210473452225230e+00, 3.281876160660435193e+00, 2.576933742369152469e+02, 1.325976418191059936e-01
1.210412090930000062e+01, 2.611488553572692606e+00, 2.169968954045025100e+00, 3.395386894581370107e+00, 2.577432590821817939e+02, 1.378056424514610134e-01
1.306206672379999922e+01, 2.705878932849862473e+00, 2.230304754517894672e+00, 3.506572854183398036e+00, 2.577927123960332665e+02, 1.426304081148612457e-01
1.402507975800000040e+01, 2.799517753213552673e+00, 2.288472304056652362e+00, 3.615856291681422530e+00, 2.578419014957117383e+02, 1.471135706407890043e-01
1.499318681579999968e+01, 2.892668702738105058e+00, 2.344668706225415011e+00, 3.723575371714547444e+00, 2.578909613712117448e+02, 1.512897157232837575e-01
1.596641484290000079e+01, 2.985548720441602466e+00, 2.399047765490397666e+00, 3.830005179228752166e+00, 2.579400028787432575e+02, 1.551879868812660046e-01
1.694479092759999972e+01, 3.078338968092334760e+00, 2.451729851343955158e+00, 3.935372504716704967e+00, 2.579891185259864983e+02, 1.588332619484554842e-01
1.792834230149999897e+01, 3.171192723955179815e+00, 2.502808995082800081e+00, 4.039866492172522250e+00, 2.580383866503269701e+02, 1.622470220114334838e-01
1.891709634000000051e+01, 3.264241176396207145e+00, 2.552358098478402226e+00, 4.143646464787430261e+00, 2.580878744970677303e+02, 1.654480006054167562e-01
1.991108056359999878e+01, 3.357597751165102729e+00, 2.600432823973172436e+00, 4.246847780582634790e+00, 2.581376405275225352e+02, 1.684526755332117487e-01
2.091032263820000026e+01, 3.451361393324542171e+00, 2.647074544763070136e+00, 4.349586284039848039e+00, 2.581877361770625043e+02, 1.712756470337805093e-01
2.191485037620000043e+01, 3.545619089715977612e+00, 2.692312611828332702e+00, 4.451961738258529699e+00, 2.582382072132307371e+02, 1.739299330863955106e-01
2.292469173710000163e+01, 3.640447830000405283e+00, 2.736166116144150173e+00, 4.554060504145382993e+00, 2.582890947983392493e+02, 1.764272035195200150e-01
2.393987482800000066e+01, 3.735916146005212379e+00, 2.778645271982255416e+00, 4.655957654807110657e+00, 2.583404363305470497e+02, 1.787779682759480238e-01
2.496042790510000131e+01, 3.832085329566527587e+00, 2.819752511753489621e+00, 4.757718660207093109e+00, 2.583922661166662351e+02, 1.809917309712674727e-01
2.598637937370000017e+01, 3.929010401770962613e+00, 2.859483358379962592e+00, 4.859400740502275440e+00, 2.584446159156027534e+02, 1.830771156435047342e-01
2.701775778969999919e+01, 4.026740887404102409e+00, 2.897827124048372394e+00, 4.961053960818388120e+00, 2.584975153812505368e+02, 1.850419726752254856e-01
2.805459185979999859e+01, 4.125321434749207761e+00, 2.934767471965365360e+00, 5.062722121881337856e+00, 2.585509924264352435e+02, 1.868934681861680047e-01
2.909691044250000047e+01, 4.224792311059276884e+00, 2.970282868926520159e+00, 5.164443487728367366e+00, 2.586050735242997689e+02, 1.886381602174062588e-01
3.014474254929999830e+01, 4.325189796764704830e+00, 3.004346950039877839e+00, 5.266251381991592595e+00, 2.586597839596640256e+02, 1.902820642596987355e-01
3.119811734479999998e+01, 4.426546496110017159e+00, 3.036928812166779679e+00, 5.368174677053282551e+00, 2.587151480400610239e+02, 1.918307099773682300e-01
3.225706414799999777e+01, 4.528891577943422675e+00, 3.067993249090067653e+00, 5.470238195039879514e+00, 2.587711892740297799e+02, 1.932891907323885106e-01
3.332161243310000032e+01, 4.632250957255212853e+00, 3.097500938698307671e+00, 5.572463035464119585e+00, 2.588279305226172369e+02, 1.946622070771047430e-01
3.439179183000000251e+01, 4.736647425722003035e+00, 3.125408590429417544e+00, 5.674866841206082313e+00, 2.588853941287867428e+02, 1.959541051602274875e-01
3.546763212540000154e+01, 4.842100737720695491e+00, 3.151669059654600424e+00, 5.777464012132744742e+00, 2.589436020285192512e+02, 1.971689108527049927e-01
3.654916326370000235e+01, 4.948627656786060314e+00, 3.176231434457279956e+00, 5.880265873706987279e+00, 2.590025758466100001e+02, 1.983103602199729754e-01
3.763641534770000163e+01, 5.056241966339227289e+00, 3.199041099329067883e+00, 5.983280806437285548e+00, 2.590623369795745248e+02, 1.993819268663597488e-01
3.872941863909999682e+01, 5.164954447644085178e+00, 3.220039779595567531e+00, 6.086514340873805828e+00, 2.591229066676544903e+02, 2.003868465450999725e-01
3.982820355999999862e+01, 5.274772827170284728e+00, 3.239165569820462665e+00, 6.189969221866689963e+00, 2.591843060575145046e+02, 2.013281394776082478e-01
4.093280069330000259e+01, 5.385701694882550683e+00, 3.256352949006494857e+00, 6.293645444981915027e+00, 2.592465562569117878e+02, 2.022086306071799733e-01
4.204324078369999995e+01, 5.497742394508574826e+00, 3.271532785107430286e+00, 6.397540267375609879e+00, 2.593096783824029785e+02, 2.030309680818747631e-01
