# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
2.598637937370000017e+01, 4.008180424735590108e+00, 2.490630951132899895e+00, 4.719002840460790438e+00, 2.634189571363338018e+02, 9.419627753239319390e-02
2.701775778969999919e+01, 4.055962639225759503e+00, 2.512194140311299950e+00, 4.770974289807969448e+00, 2.634258492587669593e+02, 9.666102777317968353e-02
2.805459185979999859e+01, 4.103184136617049838e+00, 2.533157963125542533e+00, 4.822163544769909826e+00, 2.634326767708320176e+02, 9.907693295440020420e-02
2.909691044250000047e+01, 4.149901934687100002e+00, 2.553555771946477648e+00, 4.872637259552847766e+00, 2.634394478719077597e+02, 1.014461025418670059e-01
3.014474254929999830e+01, 4.196167530154980341e+00, 2.573417175085199737e+00, 4.922455445896810389e+00, 2.634461700176427712e+02, 1.037705523868407420e-01
3.119811734479999998e+01, 4.242027611053137193e+00, 2.592768509450719794e+00, 4.971672328791255424e+00, 2.634528500178939794e+02, 1.060522036173950078e-01
3.225706414799999777e+01, 4.287524659608202171e+00, 2.611633239631895087e+00, 5.020337070341845731e+00, 2.634594941195912270e+02, 1.082928827736960031e-01
3.332161243310000032e+01, 4.332697465120507907e+00, 2.630032296537007319e+00, 5.068494385288863313e+00, 2.634661080772422110e+02, 1.104943229149944889e-01
3.439179183000000251e+01, 4.377581562396565040e+00, 2.647984366067662521e+00, 5.116185066930409420e+00, 2.634726972132319816e+02, 1.126581655582467451e-01
3.546763212540000154e+01, 4.422209608251255197e+00, 2.665506136250074931e+00, 5.163446438537082628e+00, 2.634792664696607289e+02, 1.147859632689110093e-01
3.654916326370000235e+01, 4.466611706189814512e+00, 2.682612509628152342e+00, 5.210312742445039724e+00, 2.634858204531162755e+02, 1.168791827693542451e-01
3.763641534770000163e+01, 4.510815687506174676e+00, 2.699316786458282547e+00, 5.256815476754164607e+00, 2.634923634735175142e+02, 1.189392083962902691e-01
3.872941863909999682e+01, 4.554847355566280953e+00, 2.715630823248925019e+00, 5.302983687784367461e+00, 2.634988995779682455e+02, 1.209673458005249974e-01
3.982820355999999862e+01, 4.598730698846597242e+00, 2.731565170381972774e+00, 5.348844224999055541e+00, 2.635054325803852748e+02, 1.229648258257867444e-01
4.093280069330000259e+01, 4.642488077329320895e+00, 2.747129191903342260e+00, 5.394421963938437870e+00, 2.635119660875324712e+02, 1.249328084260392380e-01
4.204324078369999995e+01, 4.686140386103027744e+00, 2.762331170056927743e+00, 5.439740001795110302e+00, 2.635185035219959673e+02, 1.268723865924624994e-01
4.315955473870000247e+01, 4.729707199380074556e+00, 2.777178396708522179e+00, 5.484819829496700549e+00, 2.635250481425339899e+02, 1.287845902459587299e-01
4.428177362880000345e+01, 4.773206897635818180e+00, 2.791677253462862662e+00, 5.529681483549314436e+00, 2.635316030621744972e+02, 1.306703900035744992e-01
4.540992868949999917e+01, 4.816656780150439410e+00, 2.805833281991354955e+00, 5.574343680384124866e+00, 2.635381712643787182e+02, 1.325307008653392460e-01
4.654405132099999776e+01, 4.860073164869567641e+00, 2.819651245847882404e+00, 5.618823935513194812e+00, 2.635447556175247428e+02, 1.343663857066637601e-01
4.768417308979999802e+01, 4.903471477239167875e+00, 2.833135184864862488e+00, 5.663138669481568854e+00, 2.635513588879447298e+02, 1.361782586576734955e-01
4.883032572949999661e+01, 4.946866329405442464e+00, 2.846288463051457107e+00, 5.707303302287751734e+00, 2.635579837517070132e+02, 1.379670882751865002e-01
4.998254114129999692e+01, 4.990271590980784211e+00, 2.859113810783847853e+00, 5.751332337714685217e+00, 2.635646328052982312e+02, 1.397336005830789873e-01
5.114085139529999680e+01, 5.033700452410992732e+00, 2.871613361964812317e+00, 5.795239438812640032e+00, 2.635713085753679934e+02, 1.414784818421119805e-01
5.230528873130000278e+01, 5.077165481798135538e+00, 2.883788686722027705e+00, 5.839037495565362335e+00, 2.635780135276342548e+02, 1.432023812251614903e-01
5.347588555950000000e+01, 5.120678675960474990e+00, 2.895640820147934669e+00, 5.882738685674177681e+00, 2.635847500750727477e+02, 1.449059133731290250e-01
5.465267446160000020e+01, 5.164251506402042224e+00, 2.907170287512794715e+00, 5.926354529264997062e+00, 2.635915205854802252e+02, 1.465896606961177295e-01
5.583568819159999919e+01, 5.207894960749552382e+00, 2.918377126315345294e+00, 5.969895938190377116e+00, 2.635983273884870641e+02, 1.482541755272739903e-01
5.702495967689999645e+01, 5.251619580154434530e+00, 2.929260905489927680e+00, 6.013373260524220498e+00, 2.636051727820967585e+02, 1.498999821213162498e-01
5.822052201889999878e+01, 5.295435493093849644e+00, 2.939820742045534452e+00, 6.056796320770025055e+00, 2.636120590388134701e+02, 1.515275785572309797e-01
