# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
1.000000000000000056e-01, 1.773589217723292588e-01, 1.779798139432424708e-01, -5.575640389787379653e-04, 3.406234441256645457e-02, 6.539799435847350184e-03, 7.300422567455628481e-03, 5.205013811392004508e-05
9.944479457320000160e-01, 5.453370515058992424e-02, 6.162876528785255631e-02, -5.383322466255895068e-04, -1.420662342983562578e-05, 1.971229812873137848e-03, 2.976316056985034864e-03, -1.708036463183997575e-04
1.893627228199999957e+00, 2.503105122867937612e-02, 3.054538332701004985e-02, -5.349104684155541606e-04, -1.178455156178527703e-03, 9.492374852512789566e-04, 1.282229882047110012e-03, 2.068925449595354824e-05
2.797562874640000086e+00, 1.989154527785839954e-02, 2.015326312972127304e-02, -5.314892377398271802e-04, 8.548014234577095208e-04, 7.013436269001525544e-04, 7.989438916208760734e-04, 6.398857792996339149e-05
3.706280044650000161e+00, 1.506032311100032398e-02, 1.501142767639727579e-02, -5.280504302627827195e-04, -4.321393692562462300e-05, 5.336932399212430435e-04, 5.838381001642732951e-04, 2.383658314703165335e-05
4.619804030920000137e+00, 1.229166294800109957e-02, 1.200587672352112535e-02, -5.245956637881627697e-04, 2.083738676062744813e-05, 4.369320835681224846e-04, 4.656733086101067062e-04, 1.650051461557714962e-05
5.538160259939999719e+00, 1.042504800099232527e-02, 1.003633741518427346e-02, -5.211268596999013396e-04, 5.869953549640564934e-06, 3.727430553336034545e-04, 3.911458502082669855e-04, 1.138592151408090056e-05
6.461374292690000409e+00, 9.087623267495128013e-03, 8.647507056008654769e-03, -5.176446287860105022e-04, -1.698840516183281575e-06, 3.272382914922707911e-04, 3.399155738467562332e-04, 8.316373310291960046e-06
7.389471825360000246e+00, 8.084240481891000543e-03, 7.616059135359759535e-03, -5.141491257878110345e-04, -6.834209562387665271e-06, 2.933776357484612469e-04, 3.025503613389369704e-04, 6.294431491335571821e-06
8.322478690060000517e+00, 7.304444823903422264e-03, 6.819922173253988376e-03, -5.106403295701929983e-04, -1.089026569472192619e-05, 2.672442343824917455e-04, 2.740984374942634903e-04, 4.866342675131967105e-06
9.260420855570000498e+00, 6.681305474361073221e-03, 6.186827037262867916e-03, -5.071181629474832845e-04, -1.440011404656827516e-05, 2.464919920615332325e-04, 2.517145993917629986e-04, 3.800961138717754506e-06
1.020332442800000017e+01, 6.171991996158024928e-03, 5.671290641687477298e-03, -5.035825400540094648e-04, -1.758379117594082656e-05, 2.296321826952030004e-04, 2.336484415900905132e-04, 2.971523913647147653e-06
1.115121565159999939e+01, 5.747860086178077296e-03, 5.243270152578217817e-03, -5.000333840146012473e-04, -2.052443998815914919e-05, 2.156755287690882727e-04, 2.187639827699267372e-04, 2.304214382252522728e-06
1.210412090930000062e+01, 5.389045538332474378e-03, 4.882128773074492778e-03, -4.964706324938915121e-04, -2.324336235975022177e-05, 2.039394231957932283e-04, 2.062916768924554921e-04, 1.753791138640547367e-06
1.306206672379999922e+01, 5.081350242894854506e-03, 4.573224376591519987e-03, -4.928942384313852185e-04, -2.573529476939832644e-05, 1.939379091017642560e-04, 1.956915455408187441e-04, 1.291246312107907644e-06
1.402507975800000040e+01, 4.814363867363401911e-03, 4.305881647330267632e-03, -4.893041690044014867e-04, -2.798583412793270061e-05, 1.853157976014935021e-04, 1.865734046427809699e-04, 8.972018343590709737e-07
1.499318681579999968e+01, 4.580285550295971897e-03, 4.072134908536468104e-03, -4.857004040388689732e-04, -2.998010970220537261e-05, 1.778075828397344970e-04, 1.786482107252015039e-04, 5.582090711433884756e-07
1.596641484290000079e+01, 4.373159313556367229e-03, 3.865920417468517341e-03, -4.820829344172667579e-04, -3.170688736747450114e-05, 1.712109164873359827e-04, 1.716972277223252695e-04, 2.645929796627697396e-07
1.694479092759999972e+01, 4.188363125112470366e-03, 3.682541252095344712e-03, -4.784517606871185099e-04, -3.316019777498645238e-05, 1.653689607052787503e-04, 1.655518356058645053e-04, 9.154006016743615298e-09
1.792834230149999897e+01, 4.022258549531882582e-03, 3.518303200709337573e-03, -4.748068918344417258e-04, -3.433961268015857144e-05, 1.601583364061195209e-04, 1.600799271120997478e-04, -2.136360526710407277e-07
1.891709634000000051e+01, 3.871944994273479948e-03, 3.370261135020259993e-03, -4.711483443533355693e-04, -3.524980456878067266e-05, 1.554807012117797444e-04, 1.551765126986122498e-04, -4.081446189979303020e-07
1.991108056359999878e+01, 3.735083824948272173e-03, 3.236038642249177560e-03, -4.674761414380517897e-04, -3.589976568003610115e-05, 1.512567428235925162e-04, 1.507570883770987505e-04, -5.779100269465719775e-07
2.091032263820000026e+01, 3.609770219707934998e-03, 3.113697364691542496e-03, -4.637903123880022420e-04, -3.630190643347507582e-05, 1.474218168771357417e-04, 1.467528620473665076e-04, -7.258616085496460049e-07
2.191485037620000043e+01, 3.494438308210470051e-03, 3.001640767269317389e-03, -4.600908921217772437e-04, -3.647116077031310201e-05, 1.439227273155780122e-04, 1.431072572979664721e-04, -8.544687899980650647e-07
2.292469173710000163e+01, 3.387789947584537303e-03, 2.898542195112455318e-03, -4.563779208016610460e-04, -3.642417153592249928e-05, 1.407153152983547505e-04, 1.397733124684322507e-04, -9.658444597901029631e-07
2.393987482800000066e+01, 3.288740558851397083e-03, 2.803290357041477929e-03, -4.526514435515937695e-04, -3.617858556199357893e-05, 1.377626297383310210e-04, 1.367117181669347476e-04, -1.061818065924225108e-06
2.496042790510000131e+01, 3.196377461342555116e-03, 2.714947501703662662e-03, -4.489115102447017135e-04, -3.575247225459569862e-05, 1.350335225456395232e-04, 1.338893173704245015e-04, -1.143988780050012568e-06
2.598637937370000017e+01, 3.109927486505914725e-03, 2.632716967574882418e-03, -4.451581753393124823e-04, -3.516386054415037181e-05, 1.325015582247699949e-04, 1.312779455431270146e-04, -1.213764976047892443e-06
2.701775778969999919e+01, 3.028731563868354570e-03, 2.555917744111637323e-03, -4.413914977771742597e-04, -3.443038342104440632e-05, 1.301441590357302292e-04, 1.288535239990892443e-04, -1.272394322648910070e-06
2.805459185979999859e+01, 2.952224603900937324e-03, 2.483964338390444969e-03, -4.376115408913959851e-04, -3.356901762971417950e-05, 1.279419286501672494e-04, 1.265953441774460004e-04, -1.320987357645805150e-06
2.909691044250000047e+01, 2.879919445585192323e-03, 2.416350699878000007e-03, -4.338183723623262886e-04, -3.259590018694329946e-05, 1.258781125116840006e-04, 1.244854974507180129e-04, -1.360536190681747519e-06
3.014474254929999830e+01, 2.811393950536634784e-03, 2.352637280347509834e-03, -4.300120642185717738e-04, -3.152621078490717733e-05, 1.239381638682144943e-04, 1.225084170270032485e-04, -1.391929906630602504e-06
3.119811734479999998e+01, 2.746280555643217450e-03, 2.292440538321427555e-03, -4.261926927966400310e-04, -3.037410430079054961e-05, 1.221093921873137587e-04, 1.206505070148675005e-04, -1.415967264430547397e-06
3.225706414799999777e+01, 2.684257759308535107e-03, 2.235424365982732579e-03, -4.223603387836242433e-04, -2.915268189567000356e-05, 1.203806764076512537e-04, 1.188998398699350067e-04, -1.433367363463974995e-06
3.332161243310000032e+01, 2.625043141000437535e-03, 2.181293040208565157e-03, -4.185150872300905014e-04, -2.787399210301324940e-05, 1.187422295107042470e-04, 1.172459079372315080e-04, -1.444778834866937377e-06
3.439179183000000251e+01, 2.568387601853604815e-03, 2.129785391013744745e-03, -4.146570275566119649e-04, -2.654905742340052702e-05, 1.171854040512607489e-04, 1.156794181179752486e-04, -1.450787725801842458e-06
3.546763212540000154e+01, 2.514070608607615019e-03, 2.080669949010512370e-03, -4.107862537680764922e-04, -2.518791112819907348e-05, 1.157025309209377452e-04, 1.141921211573875016e-04, -1.451924322273664859e-06
3.654916326370000235e+01, 2.461896180593292367e-03, 2.033740885820414877e-03, -4.069028641958482391e-04, -2.379964185967047599e-05, 1.142867839290475003e-04, 1.127766689294207585e-04, -1.448669054527087398e-06
3.763641534770000163e+01, 2.411689588378479899e-03, 1.988814600521020270e-03, -4.030069618657987850e-04, -2.239245322251280163e-05, 1.129320670856720011e-04, 1.114264945014257558e-04, -1.441457815240637461e-06
3.872941863909999682e+01, 2.363294532250800016e-03, 1.945726835241112437e-03, -3.990986544349522675e-04, -2.097372275850002579e-05, 1.116329188777557494e-04, 1.101357108346525076e-04, -1.430686572084515162e-06
3.982820355999999862e+01, 2.316570772895607325e-03, 1.904330226973910021e-03, -3.951780542646940193e-04, -1.955005922578867240e-05, 1.103844313749139988e-04, 1.088990248312740020e-04, -1.416715418782367433e-06
4.093280069330000259e+01, 2.271392116166654970e-03, 1.864492220653094900e-03, -3.912452785419822570e-04, -1.812736308866405203e-05, 1.091821813772059918e-04, 1.077116640799790080e-04, -1.399872241145665028e-06
4.204324078369999995e+01, 2.227644694882002611e-03, 1.826093282925782615e-03, -3.873004493445425132e-04, -1.671088356672865020e-05, 1.080221715444160048e-04, 1.065693141620604908e-04, -1.380455878435972508e-06
4.315955473870000247e+01, 2.185225497461437336e-03, 1.789025367401742353e-03, -3.833436937424867619e-04, -1.530527423103867472e-05, 1.069007798977975027e-04, 1.054680647845152502e-04, -1.358739057510479993e-06
4.428177362880000345e+01, 2.144041103506414987e-03, 1.753190591119159871e-03, -3.793751438991907867e-04, -1.391464499144132532e-05, 1.058147163278152478e-04, 1.044043633214219915e-04, -1.334970862480085039e-06
4.540992868949999917e+01, 2.104006592961809707e-03, 1.718500089187299882e-03, -3.753949371672735038e-04, -1.254261090142542530e-05, 1.047609849944332463e-04, 1.033749746032104893e-04, -1.309379056243442516e-06
4.654405132099999776e+01, 2.065044602180340135e-03, 1.684873020330437347e-03, -3.714032162072249967e-04, -1.119233863587074907e-05, 1.037368517282669870e-04, 1.023769459946172460e-04, -1.282172132229014737e-06
4.768417308979999802e+01, 2.027084503673097764e-03, 1.652235700699867648e-03, -3.674001290800672586e-04, -9.866587820393353606e-06, 1.027398156433209978e-04, 1.014075769661068084e-04, -1.253541061717982314e-06
4.883032572949999661e+01, 1.990061691708110061e-03, 1.620520847150524937e-03, -3.633858293866557400e-04, -8.567750755687737952e-06, 1.017675843827898970e-04, 1.004643925006684202e-04, -1.223661000410899932e-06
4.998254114129999692e+01, 1.953916957820462253e-03, 1.589666914228695131e-03, -3.593604763665559851e-04, -7.297888083701624612e-06, 1.008180524201399207e-04, 9.954511978180229830e-05, -1.192692709837024990e-06
5.114085139529999680e+01, 1.918595943261317514e-03, 1.559617511661042649e-03, -3.553242350351669626e-04, -6.058761304352567025e-06, 9.988928202316190927e-05, 9.864766770055034622e-05, -1.160783857015035004e-06
5.230528873130000278e+01, 1.884048657816677578e-03, 1.530320891228295101e-03, -3.512772763032350571e-04, -4.851863006724291874e-06, 9.897948648196686810e-05, 9.777010879236154735e-05, -1.128070227456279859e-06
5.347588555950000000e+01, 1.850229055386780124e-03, 1.501729493609705018e-03, -3.472197771115117073e-04, -3.678444008709157777e-06, 9.808701530526149127e-05, 9.691066327322848755e-05, -1.094676762507627334e-06
5.465267446160000020e+01, 1.817094659156070222e-03, 1.473799547218030033e-03, -3.431519205671040265e-04, -2.539538013885825078e-06, 9.721034111841530645e-05, 9.606768489615899269e-05, -1.060718517495717567e-06
5.583568819159999919e+01, 1.784606229101997569e-03, 1.446490712235795010e-03, -3.390738960774384984e-04, -1.435984148926210394e-06, 9.634804803108530050e-05, 9.523964839017615906e-05, -1.026301519033159993e-06
5.702495967689999645e+01, 1.752727466964444907e-03, 1.419765764057375011e-03, -3.349858994976219950e-04, -3.684472151652445370e-07, 9.549882129871471910e-05, 9.442513827897396940e-05, -9.915235527673670051e-07
5.822052201889999878e+01, 1.721424753390105120e-03, 1.393590311167799967e-03, -3.308881332783522697e-04, 6.625637659766750166e-07, 9.466143810255575955e-05, 9.362283890497812369e-05, -9.564748602390095517e-07
5.942240849419999904e+01, 1.690666913406814985e-03, 1.367932543193307697e-03, -3.267808066097289727e-04, 1.656679163185499862e-06, 9.383475930708850112e-05, 9.283152550953567355e-05, -9.212387650978142821e-07
6.063065255539999754e+01, 1.660425006752725210e-03, 1.342763005453985210e-03, -3.226641355843705124e-04, 2.613653560292619977e-06, 9.301772208919646808e-05, 9.205005624090165334e-05, -8.858922575076927370e-07
6.184528783209999858e+01, 1.630672139884399964e-03, 1.318054396846677408e-03, -3.185383433473177456e-04, 3.533352314430929647e-06, 9.220933331320632447e-05, 9.127736497859640459e-05, -8.505065203373025879e-07
6.306634813160000164e+01, 1.601383297276862475e-03, 1.293781388308332461e-03, -3.144036602670084854e-04, 4.415739264857130477e-06, 9.140866358465246731e-05, 9.051245487756694544e-05, -8.151473914953467757e-07
6.429386744020000322e+01, 1.572535189581715032e-03, 1.269920459476819776e-03, -3.102603240967655119e-04, 5.260865963974344737e-06, 9.061484188501780503e-05, 8.975439254879737691e-05, -7.798757891020698958e-07
6.552787992400000405e+01, 1.544106116752495209e-03, 1.246449751480889837e-03, -3.061085801473220321e-04, 6.068861582230270364e-06, 8.982705073196758287e-05, 8.900230280381885646e-05, -7.447481190222890378e-07
