# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
1.000000000000000056e-01, -1.743628864119309840e-01, 0.000000000000000000e+00, 4.036493843749857898e-04, -4.305256454615582346e-02, 3.930879589721574668e-02, -3.118311818059914860e-03, 1.934089201263109944e-02, -1.013767378156567485e-02, 1.347858578792697493e-01, 3.315897447241437229e-02, -1.847005445342049801e-01, 4.839027008936530594e-02, -1.962250552310752598e-04, 2.380920012254434878e-02, -3.166596784039950041e-01, 0.000000000000000000e+00, -3.364179596523714450e-04, 0.000000000000000000e+00
9.944479457320000160e-01, -1.916686192212767592e-01, 0.000000000000000000e+00, 1.431334865366657490e-03, -5.081195531667254822e-02, 4.388019358701619743e-02, -4.384621373522933074e-03, 2.301368073288047322e-02, -1.331192257581804983e-02, 1.478479693125092642e-01, 3.877063558760170114e-02, -1.870380243602070003e-01, 5.403280115952392715e-02, -6.496403425042587268e-04, 2.833838076890250052e-02, -3.150987915753627466e-01, 0.000000000000000000e+00, -1.094432897633865025e-03, 0.000000000000000000e+00
1.893627228199999957e+00, -2.012645000126274675e-01, 0.000000000000000000e+00, 3.271780621467422403e-03, -5.564302659588325761e-02, 4.637590827171760022e-02, -5.133512734353713053e-03, 2.506191541499484809e-02, -1.532228126621109840e-02, 1.595265095017739942e-01, 4.310471555547350231e-02, -1.873799629656884846e-01, 5.713272204253402875e-02, -1.436733942096827567e-03, 3.087498401787704821e-02, -3.222800923035474829e-01, 0.000000000000000000e+00, -2.471066687261730226e-03, 0.000000000000000000e+00
2.797562874640000086e+00, -1.704284204909835287e-01, 0.000000000000000000e+00, 3.436198957564952361e-03, -4.292765881868837452e-02, 3.834986905006868008e-02, -2.478578784058572352e-03, 1.867945525723417599e-02, -9.741555475191857050e-03, 1.281363152388367566e-01, 3.120632971673677550e-02, -1.819654056663512487e-01, 4.733329600369030193e-02, -1.736657851359317637e-03, 2.305510222435242645e-02, -3.039954034209044753e-01, 0.000000000000000000e+00, -2.901277346799642672e-03, 0.000000000000000000e+00
3.706280044650000161e+00, -1.663135105752734932e-01, 0.000000000000000000e+00, 4.427006937257352281e-03, -4.176771331691027378e-02, 3.730351009778229421e-02, -2.098313372367570026e-03, 1.789382755504917433e-02, -9.178142683058596041e-03, 1.236147656768559894e-01, 2.964791225363874738e-02, -1.803277820376275042e-01, 4.611248074169720101e-02, -2.294814465092609879e-03, 2.211933186564920412e-02, -2.987810562843012385e-01, 0.000000000000000000e+00, -3.802189657262892639e-03, 0.000000000000000000e+00
4.619804030920000137e+00, -1.613297397134392519e-01, 0.000000000000000000e+00, 5.240654261144003095e-03, -4.024859557151970468e-02, 3.604592976291317447e-02, -1.693099458769915062e-03, 1.696443460678579915e-02, -8.510058420572945426e-03, 1.180970094396935066e-01, 2.779024679822227756e-02, -1.785278506136322441e-01, 4.463875651335924566e-02, -2.798476078549625400e-03, 2.100850700184337533e-02, -2.924544801917520198e-01, 0.000000000000000000e+00, -4.584253593956934790e-03, 0.000000000000000000e+00
5.538160259939999719e+00, -1.572407720037692358e-01, 0.000000000000000000e+00, 6.001509944226745760e-03, -3.909072218282749756e-02, 3.502738566316875024e-02, -1.368807703956990019e-03, 1.622066177801082323e-02, -7.998617712531666882e-03, 1.134728107005907594e-01, 2.627381628569222180e-02, -1.768468874778055255e-01, 4.346396333009962254e-02, -3.287416796296144944e-03, 2.012751131144562347e-02, -2.864514279311832778e-01, 0.000000000000000000e+00, -5.324785223982385005e-03, 0.000000000000000000e+00
6.461374292690000409e+00, -1.535688859402959960e-01, 0.000000000000000000e+00, 6.699467153072929948e-03, -3.809397079687724952e-02, 3.412324144144334576e-02, -1.089680329225744962e-03, 1.556624632604662432e-02, -7.563114875985487394e-03, 1.093090435861762411e-01, 2.493218868020422377e-02, -1.752135157940039600e-01, 4.243359579212835353e-02, -3.756583595278602423e-03, 1.935723479787477413e-02, -2.806355767889525121e-01, 0.000000000000000000e+00, -6.016736881328495386e-03, 0.000000000000000000e+00
7.389471825360000246e+00, -1.501435640990072540e-01, 0.000000000000000000e+00, 7.333661726677495087e-03, -3.718655595110192946e-02, 3.328873457752914988e-02, -8.426021946733694597e-04, 1.496664699124210067e-02, -7.174483818138501987e-03, 1.054531947241939965e-01, 2.370597829467235157e-02, -1.736042767654377428e-01, 4.149143237313422661e-02, -4.204094065506264709e-03, 1.865457943892950138e-02, -2.749742246082274577e-01, 0.000000000000000000e+00, -6.658800223931002522e-03, 0.000000000000000000e+00
8.322478690060000517e+00, -1.468886207975297342e-01, 0.000000000000000000e+00, 7.905909119710823746e-03, -3.633607179614907479e-02, 3.250360492892957753e-02, -6.212197837774137421e-04, 1.440621297771702350e-02, -6.819319801526122285e-03, 1.018353025848474924e-01, 2.256772711529644870e-02, -1.720106308856385047e-01, 4.061149737575492358e-02, -4.629111623578407650e-03, 1.799977345288547581e-02, -2.694579592691374592e-01, 0.000000000000000000e+00, -7.251445798107685435e-03, 0.000000000000000000e+00
