# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
1.000000000000000056e-01, 8.818505012576649538e-02, 8.907884273772409545e-02, -8.041035631107285335e-04, 1.667895089899257624e-02, 1.732527286338307604e-02, 1.870296085382944923e-02, 1.701734796956474874e-04
9.944479457320000160e-01, 2.787255531548387538e-02, 3.113808678939345223e-02, -7.691991625531927274e-04, 6.359758231533670515e-05, 5.447626173461324849e-03, 8.095877690881518249e-03, -3.935602927292117400e-04
1.893627228199999957e+00, 1.380933857628790021e-02, 1.589428958057062524e-02, -7.599258488812721864e-04, -3.137960757653635220e-04, 2.827673950365654828e-03, 3.695765316335464928e-03, 9.314312468692720478e-05
2.797562874640000086e+00, 1.120132702359630077e-02, 1.077338058125365018e-02, -7.506515489828003741e-04, 3.805590808059411889e-04, 2.165476909482487531e-03, 2.419687840550097634e-03, 1.585779703171907688e-04
3.706280044650000161e+00, 8.769945356719811153e-03, 8.281713345138101701e-03, -7.413499796052904194e-04, -3.817568824200619833e-06, 1.728555064091385086e-03, 1.861204948079377575e-03, 6.100772291402040105e-05
4.619804030920000137e+00, 7.453772333474397403e-03, 6.828380091619536824e-03, -7.320163237982514962e-04, 1.993361540590942615e-05, 1.486405750476757449e-03, 1.556480137773630021e-03, 3.875685861289399932e-05
5.538160259939999719e+00, 6.561389623138085339e-03, 5.879744998831103013e-03, -7.226501361316603348e-04, -1.042935275209363797e-05, 1.327422622885564936e-03, 1.366562712865300195e-03, 2.114924433106554920e-05
6.461374292690000409e+00, 5.922644461047252805e-03, 5.212383247539972148e-03, -7.132525366335274852e-04, -2.852930765826345287e-05, 1.216323195324990180e-03, 1.237694422094262441e-03, 1.032495541792456927e-05
7.389471825360000246e+00, 5.441039230960877104e-03, 4.716972872429782762e-03, -7.038249822754322465e-04, -4.102787232677202692e-05, 1.134585284421175001e-03, 1.144929194662867465e-03, 3.135432572611454951e-06
8.322478690060000517e+00, 5.062702939867554965e-03, 4.333894673719210222e-03, -6.943687915347147291e-04, -4.905623959336587127e-05, 1.071996074602569972e-03, 1.075166098217497515e-03, -1.756549305053255141e-06
9.260420855570000498e+00, 4.755558242052910708e-03, 4.027963689483845741e-03, -6.848851389074151787e-04, -5.358464762557849776e-05, 1.022503913698137460e-03, 1.020881701162522533e-03, -5.111147995291154663e-06
1.020332442800000017e+01, 4.499454590548514557e-03, 3.777125440141460271e-03, -6.753751015170946208e-04, -5.545629736755795151e-05, 9.823120125895374276e-04, 9.774543071060287549e-04, -7.397568886656090667e-06
1.115121565159999939e+01, 4.281153272191597602e-03, 3.566883616585614890e-03, -6.658397040227596788e-04, -5.536920644011420769e-05, 9.489255141698575008e-04, 9.418918306479087850e-04, -8.922460036809648298e-06
1.210412090930000062e+01, 4.091619256343317565e-03, 3.387337030558102303e-03, -6.562799521269782350e-04, -5.387865944049430463e-05, 9.206413360617697042e-04, 9.121743042153654347e-04, -9.894613743768894664e-06
1.306206672379999922e+01, 3.924482498638047490e-03, 3.231505353287417517e-03, -6.466968554836020249e-04, -5.141425033648042636e-05, 8.962592365450423957e-04, 8.868906328951793941e-04, -1.046057984283650072e-05
1.402507975800000040e+01, 3.775124544749352325e-03, 3.094334781240090215e-03, -6.370914426931119888e-04, -4.830197848786259778e-05, 8.749102423954648218e-04, 8.650267045461492539e-04, -1.072566091330074800e-05
1.499318681579999968e+01, 3.640115133071789889e-03, 2.972082451002275045e-03, -6.274647709099249755e-04, -4.478578338011142309e-05, 8.559505701516184790e-04, 8.458360858395015062e-04, -1.076695136407547378e-05
1.596641484290000079e+01, 3.516852678326506942e-03, 2.861921677646830052e-03, -6.178179320366567265e-04, -4.104614972735985050e-05, 8.388937120040422654e-04, 8.287580579707408066e-04, -1.064176378465317446e-05
1.694479092759999972e+01, 3.403327826391674971e-03, 2.761681034397315063e-03, -6.081520568950565244e-04, -3.721520888950005293e-05, 8.233656153525996607e-04, 8.133639461050402300e-04, -1.039324658039277581e-05
1.792834230149999897e+01, 3.297963715479300048e-03, 2.669667310707209661e-03, -5.984683182620277380e-04, -3.338857944917965088e-05, 8.090743065257249541e-04, 7.993209765062675139e-04, -1.005422541849197527e-05
1.891709634000000051e+01, 3.199505434314797725e-03, 2.584542588887537694e-03, -5.887679333254106865e-04, -2.963446698369867339e-05, 7.957888156200477016e-04, 7.863673347497071760e-04, -9.649886319158943783e-06
1.991108056359999878e+01, 3.106941860500922470e-03, 2.505237142559892279e-03, -5.790521658539405378e-04, -2.600057806532110011e-05, 7.833242475421197878e-04, 7.742945795655275382e-04, -9.199685395274242002e-06
2.091032263820000026e+01, 3.019449315535010017e-03, 2.430886589374752719e-03, -5.693223282500075059e-04, -2.251933936313707478e-05, 7.715310092822212553e-04, 7.629350044981292583e-04, -8.718730183206770869e-06
2.191485037620000043e+01, 2.936350232643212318e-03, 2.360785801266372490e-03, -5.595797835529091237e-04, -1.921182310169482395e-05, 7.602869063618221748e-04, 7.521523996551242796e-04, -8.218793247743693813e-06
2.292469173710000163e+01, 2.857082356572374863e-03, 2.294354605021102413e-03, -5.498259474383982316e-04, -1.609069621629360088e-05, 7.494912572216560001e-04, 7.418351951706595154e-04, -7.709066613626656500e-06
2.393987482800000066e+01, 2.781175462096472512e-03, 2.231111915496612579e-03, -5.400622902137612331e-04, -1.316243302781499988e-05, 7.390604508945777936e-04, 7.318913019772345895e-04, -7.196728812574566980e-06
2.496042790510000131e+01, 2.708233525823985043e-03, 2.170655990783594991e-03, -5.302903388185434188e-04, -1.042897658391907806e-05, 7.289245528789487210e-04, 7.222441813028042910e-04, -6.687377077393030364e-06
2.598637937370000017e+01, 2.637920912564440008e-03, 2.112649192594099820e-03, -5.205116788564955171e-04, -7.888985602393268348e-06, 7.190246830574717691e-04, 7.128298163471309548e-04, -6.185359148163146738e-06
2.701775778969999919e+01, 2.569951555474632443e-03, 2.056806103742395316e-03, -5.107279566245107169e-04, -5.538769538653954808e-06, 7.093109694113875320e-04, 7.035943550857430215e-04, -5.694030504772339612e-06
2.805459185979999859e+01, 2.504080397705362240e-03, 2.002884176096380014e-03, -5.009408811960505475e-04, -3.372990707298075130e-06, 6.997409364879100249e-04, 6.944922583531319693e-04, -5.215955911993470079e-06
2.909691044250000047e+01, 2.440096560802359951e-03, 1.950676306130452731e-03, -4.911522265103155120e-04, -1.385188842659284560e-06, 6.902782254599092128e-04, 6.854848324969497250e-04, -4.753067369186503072e-06
