# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
1.000000000000000056e-01, -1.743652398473232723e-01, 0.000000000000000000e+00, 2.993467328361419525e-04, -4.305314564131444699e-02, 3.931820068840707894e-02, -3.112364200209849843e-03, 1.936387452384510238e-02, -1.014447955100522374e-02, 1.347228811016307204e-01, 3.317492810180762419e-02, -1.848142240122477575e-01, 4.839918385616275021e-02, -1.454424309343744961e-04, 2.383618036318047723e-02, -3.166307750441105240e-01, 0.000000000000000000e+00, -2.491776337159334648e-04, 0.000000000000000000e+00
9.944479457320000160e-01, -1.924066197378297427e-01, 0.000000000000000000e+00, 1.067331925027647501e-03, -5.098926185154217805e-02, 4.407741432075830412e-02, -4.484667124468802793e-03, 2.317504700010777560e-02, -1.343546374975657445e-02, 1.487933044732397403e-01, 3.911631284234080158e-02, -1.873737116464684882e-01, 5.426726075021829493e-02, -4.816457148105291819e-04, 2.853267000673212483e-02, -3.162612175401982584e-01, 0.000000000000000000e+00, -8.129512381856887453e-04, 0.000000000000000000e+00
1.893627228199999957e+00, -2.038392759259527454e-01, 0.000000000000000000e+00, 2.489061707434367908e-03, -5.648432904481331951e-02, 4.706776434929737379e-02, -5.461305885921710623e-03, 2.564867304015337399e-02, -1.582720033580632679e-02, 1.628083562373727478e-01, 4.435964475839129784e-02, -1.882346111232784946e-01, 5.796292049169535221e-02, -1.077075167593695036e-03, 3.158577871421572314e-02, -3.255536482518942565e-01, 0.000000000000000000e+00, -1.862806304644772353e-03, 0.000000000000000000e+00
2.797562874640000086e+00, -1.731752292394440063e-01, 0.000000000000000000e+00, 2.630471818942325089e-03, -4.366784891342004316e-02, 3.905406281751314795e-02, -2.753873282619407475e-03, 1.921435200095995138e-02, -1.012629781633057544e-02, 1.315767506354237615e-01, 3.236746957945162151e-02, -1.831057490733547510e-01, 4.815639890815390234e-02, -1.305333319736222625e-03, 2.369264344216804805e-02, -3.084500482298915269e-01, 0.000000000000000000e+00, -2.198883010066222162e-03, 0.000000000000000000e+00
3.706280044650000161e+00, -1.695203683138135076e-01, 0.000000000000000000e+00, 3.410985542993007387e-03, -4.256174876871972323e-02, 3.811660081088055069e-02, -2.415550926156122529e-03, 1.850481098057389986e-02, -9.599741417917053571e-03, 1.277013307919402374e-01, 3.099816730592812666e-02, -1.818142958736874981e-01, 4.704698434014305264e-02, -1.729830462198754873e-03, 2.284032439679180293e-02, -3.045644277256302490e-01, 0.000000000000000000e+00, -2.897689366644092424e-03, 0.000000000000000000e+00
4.619804030920000137e+00, -1.652782930631954972e-01, 0.000000000000000000e+00, 4.082358730305293143e-03, -4.121708260887539665e-02, 3.703549712558302370e-02, -2.059009045237039908e-03, 1.769783982926817489e-02, -9.003250698914617989e-03, 1.230353499626140046e-01, 2.939694205895037465e-02, -1.804110471926757553e-01, 4.576591148400070003e-02, -2.122122257625017397e-03, 2.186976797750572396e-02, -2.996709765079182408e-01, 0.000000000000000000e+00, -3.524912563245942779e-03, 0.000000000000000000e+00
5.538160259939999719e+00, -1.619006995519329806e-01, 0.000000000000000000e+00, 4.726062942513692584e-03, -4.022672449117047078e-02, 3.618354505212937472e-02, -1.776071409516537594e-03, 1.706929845281579886e-02, -8.557214249952463728e-03, 1.191926948723909946e-01, 2.811411624596217573e-02, -1.791301323785522426e-01, 4.477041357517053122e-02, -2.508169048474050058e-03, 2.112008334090507283e-02, -2.950372976101187650e-01, 0.000000000000000000e+00, -4.131052929020207626e-03, 0.000000000000000000e+00
6.461374292690000409e+00, -1.589350836773310016e-01, 0.000000000000000000e+00, 5.335173768707134750e-03, -3.940177751386740590e-02, 3.544248153730678030e-02, -1.532041157982689909e-03, 1.652715380234119971e-02, -8.184236455155147194e-03, 1.157665450799484907e-01, 2.699152037320667538e-02, -1.779012351033432693e-01, 4.391453058543730303e-02, -2.885007755323882195e-03, 2.047774528901407515e-02, -2.905410993597419833e-01, 0.000000000000000000e+00, -4.711623628851314624e-03, 0.000000000000000000e+00
7.389471825360000246e+00, -1.562012468163597456e-01, 0.000000000000000000e+00, 5.907687698718767748e-03, -3.866716175713782316e-02, 3.476519982621722321e-02, -1.313354719311360125e-03, 1.603496052727082510e-02, -7.853921687916709526e-03, 1.125975590480372546e-01, 2.596704767707290126e-02, -1.766966774652830030e-01, 4.313980192906297084e-02, -3.251280081150347348e-03, 1.989762461635437296e-02, -2.861423831011085106e-01, 0.000000000000000000e+00, -5.265050293432570194e-03, 0.000000000000000000e+00
8.322478690060000517e+00, -1.536128980262910226e-01, 0.000000000000000000e+00, 6.443204235101292719e-03, -3.798679826526107917e-02, 3.412910481831390314e-02, -1.113529543646002602e-03, 1.557530190535967411e-02, -7.551754406848559982e-03, 1.096092336449169952e-01, 2.501089738476527588e-02, -1.755038182873322472e-01, 4.241792789280655201e-02, -3.606172644757512508e-03, 1.935801927576335027e-02, -2.818241863133897906e-01, 0.000000000000000000e+00, -5.790711264622437279e-03, 0.000000000000000000e+00
