# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
1.000000000000000056e-01, -1.743654929007925070e-01, 0.000000000000000000e+00, 2.015008649193650162e-04, -4.305320812365250049e-02, 3.932652750521447443e-02, -3.106523878310119870e-03, 1.938517165119817490e-02, -1.015062018111305073e-02, 1.346600477468045121e-01, 3.318889696131692435e-02, -1.849205288802054925e-01, 4.840695000861985203e-02, -9.785287047951686176e-05, 2.386117195000862778e-02, -3.165980931958335409e-01, 0.000000000000000000e+00, -1.675316604928502517e-04, 0.000000000000000000e+00
9.944479457320000160e-01, -1.931019760543792596e-01, 0.000000000000000000e+00, 7.224163281297687209e-04, -5.115762676181304786e-02, 4.426334755656230469e-02, -4.579678931285170729e-03, 2.332735193235127569e-02, -1.355286776858202411e-02, 1.496856445261662283e-01, 3.944312758197213165e-02, -1.876846196273855294e-01, 5.448925110095124980e-02, -3.242252957389282265e-04, 2.871653425736840279e-02, -3.173471346515744917e-01, 0.000000000000000000e+00, -5.482170306146426971e-04, 0.000000000000000000e+00
1.893627228199999957e+00, -2.062438067549329790e-01, 0.000000000000000000e+00, 1.715972568151697417e-03, -5.727090762483222353e-02, 4.771638671652632391e-02, -5.777108653623732812e-03, 2.620287244286007705e-02, -1.630946768077297382e-02, 1.659126954132862375e-01, 4.555446857396507065e-02, -1.890212422310970086e-01, 5.874555939630792673e-02, -7.323585456981970354e-04, 3.225940822276799486e-02, -3.286190055193037862e-01, 0.000000000000000000e+00, -1.273224954504469921e-03, 0.000000000000000000e+00
2.797562874640000086e+00, -1.758099162453022335e-01, 0.000000000000000000e+00, 1.825475783276517446e-03, -4.438669881288302699e-02, 3.973366031564862233e-02, -3.027429909230982489e-03, 1.973443928509134929e-02, -1.050685549771892408e-02, 1.349258745424227468e-01, 3.350668652787987256e-02, -1.841638292865059867e-01, 4.895725180973890117e-02, -8.901090725476909840e-04, 2.431550231670930040e-02, -3.126878340702587411e-01, 0.000000000000000000e+00, -1.511293294677367501e-03, 0.000000000000000000e+00
3.706280044650000161e+00, -1.725576370356709799e-01, 0.000000000000000000e+00, 2.380285955349750043e-03, -4.331641778738294646e-02, 3.889284832141497866e-02, -2.731603870096712544e-03, 1.909223083170722562e-02, -1.001264103588652560e-02, 1.316635670015064985e-01, 3.231637043442072560e-02, -1.831799834823600037e-01, 4.794846175898284657e-02, -1.182117453661324976e-03, 2.353756880319905417e-02, -3.100586513340475303e-01, 0.000000000000000000e+00, -2.000898128279724603e-03, 0.000000000000000000e+00
4.619804030920000137e+00, -1.690047182735694986e-01, 0.000000000000000000e+00, 2.876717049607179898e-03, -4.212788973528187181e-02, 3.797895626210254921e-02, -2.428903605511117426e-03, 1.840273824281660198e-02, -9.487299027768932372e-03, 1.278426638002392590e-01, 3.097314376848089856e-02, -1.821358305941445099e-01, 4.685272455068765357e-02, -1.457457085531395011e-03, 2.270253054172305038e-02, -3.065477459563665241e-01, 0.000000000000000000e+00, -2.452994677785787572e-03, 0.000000000000000000e+00
5.538160259939999719e+00, -1.662964332444842319e-01, 0.000000000000000000e+00, 3.362430319386529830e-03, -4.128811741615517200e-02, 3.728766952645175270e-02, -2.195078876463564966e-03, 1.788695947053405011e-02, -9.108215149347440032e-03, 1.247952530632104873e-01, 2.993225426874802572e-02, -1.812188481830550035e-01, 4.603297168055620059e-02, -1.731218869985034830e-03, 2.208209554078817416e-02, -3.032537052402864974e-01, 0.000000000000000000e+00, -2.897026138455237321e-03, 0.000000000000000000e+00
6.461374292690000409e+00, -1.640041010114520192e-01, 0.000000000000000000e+00, 3.833378901842432462e-03, -4.061845727202427481e-02, 3.670670730069579973e-02, -1.996386753902937641e-03, 1.745698819946407687e-02, -8.801104430029221132e-03, 1.221392982257382409e-01, 2.904353112493772426e-02, -1.803613025417525051e-01, 4.535094128319040047e-02, -2.001900127154297541e-03, 2.156801519548650140e-02, -3.000704635701255119e-01, 0.000000000000000000e+00, -3.330577781391652701e-03, 0.000000000000000000e+00
7.389471825360000246e+00, -1.619443036772637567e-01, 0.000000000000000000e+00, 4.287918226000017249e-03, -4.004297500700745166e-02, 3.618809354733219796e-02, -1.818825706426495034e-03, 1.707557648062164868e-02, -8.534908037483881355e-03, 1.197133994557792458e-01, 2.824376409841874991e-02, -1.795337905660217559e-01, 4.474746125191787771e-02, -2.268765102047235090e-03, 2.111436624420265015e-02, -2.969566935918937500e-01, 0.000000000000000000e+00, -3.752609281138544802e-03, 0.000000000000000000e+00
8.322478690060000517e+00, -1.600262942831675028e-01, 0.000000000000000000e+00, 4.725332973417289972e-03, -3.952419715821835211e-02, 3.570811462746672355e-02, -1.655609147279362477e-03, 1.672440658803462515e-02, -8.294468511555885479e-03, 1.174379295165332432e-01, 2.750187884974952465e-02, -1.787217311064119851e-01, 4.419320224423112231e-02, -2.531378068280572529e-03, 2.069851747383474883e-02, -2.938925977372907616e-01, 0.000000000000000000e+00, -4.162601271944149639e-03, 0.000000000000000000e+00
