# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.617656250001990088e+02, 2.342303702421594854e-03
9.944479457320000160e-01, 1.235660246199017598e+00, 8.933846701659171607e-01, 1.524793924547252599e+00, 2.620205957023746919e+02, 7.863408583023104303e-03
1.893627228199999957e+00, 1.662835938679175118e+00, 1.195621888690282519e+00, 2.048058303836927774e+00, 2.621109922882757814e+02, 1.775939590830660081e-02
2.797562874640000086e+00, 1.909473769714927549e+00, 1.366636387766507532e+00, 2.348147293211059861e+00, 2.621627423880477181e+02, 2.055612721011459976e-02
3.706280044650000161e+00, 2.105098931840387433e+00, 1.499998034852830120e+00, 2.584849897330762758e+00, 2.622019240909112341e+02, 2.699437659408759904e-02
4.619804030920000137e+00, 2.261225429584625246e+00, 1.604637995766735159e+00, 2.772727808210857514e+00, 2.622330894614632371e+02, 3.280919322933549542e-02
5.538160259939999719e+00, 2.393427068751697639e+00, 1.691787755266217497e+00, 2.930982328213862509e+00, 2.622594006557957300e+02, 3.847761235915407585e-02
6.461374292690000409e+00, 2.509185145279362761e+00, 1.766861499886137610e+00, 3.068848416100499854e+00, 2.622824225189415301e+02, 4.395924671675835449e-02
7.389471825360000246e+00, 2.613022760961530189e+00, 1.833122430226764799e+00, 3.191903700242940012e+00, 2.623030821367494809e+02, 4.924316797222062086e-02
8.322478690060000517e+00, 2.707867842319967355e+00, 1.892676777639007435e+00, 3.303755378223224959e+00, 2.623219724699317794e+02, 5.432748619493005249e-02
9.260420855570000498e+00, 2.795721195022375483e+00, 1.946959412651920074e+00, 3.406866081744967634e+00, 2.623394954246687689e+02, 5.921482951014654661e-02
1.020332442800000017e+01, 2.878009316165717646e+00, 1.996989880346125013e+00, 3.502989780982444845e+00, 2.623559358900792517e+02, 6.391044372876493462e-02
1.115121565159999939e+01, 2.955784327411170143e+00, 2.043517310152762612e+00, 3.593418697057092270e+00, 2.623715031216725038e+02, 6.842120149894623249e-02
1.210412090930000062e+01, 3.029843991723477181e+00, 2.087107312006352355e+00, 3.679131465730990147e+00, 2.623863553339507462e+02, 7.275500374217219735e-02
1.306206672379999922e+01, 3.100807253544134667e+00, 2.128196618747984825e+00, 3.760886363271514821e+00, 2.624006150586072295e+02, 7.692037084455477514e-02
