# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
3.014474254929999830e+01, 2.709185685921774913e-03, 2.222426469708484783e-03, -4.621583087905954722e-04, -2.762190343980625091e-05, 2.024005698998069928e-04, 1.996846290616204967e-04, -2.661651191502575081e-06
3.119811734479999998e+01, 2.648595484651479655e-03, 2.168740759846604638e-03, -4.570838145953620311e-04, -2.576342492112549786e-05, 1.997672952287915006e-04, 1.970775589774090210e-04, -2.629080046514925082e-06
3.225706414799999777e+01, 2.590506973194980564e-03, 2.117581182384512331e-03, -4.519952874902897783e-04, -2.390003246765300143e-05, 1.972530626489680074e-04, 1.945980880196512559e-04, -2.588727167145327839e-06
3.332161243310000032e+01, 2.534693159282275059e-03, 2.068708100288767573e-03, -4.468929804700762795e-04, -2.204324382757867425e-05, 1.948450017358320139e-04, 1.922321788165019959e-04, -2.541664297958074870e-06
3.439179183000000251e+01, 2.480953616699334979e-03, 2.021910318482687298e-03, -4.417771559241112644e-04, -2.020284315191195069e-05, 1.925317418285535181e-04, 1.899674345482874960e-04, -2.488838616261494846e-06
3.546763212540000154e+01, 2.429110706250267419e-03, 1.977001059588180242e-03, -4.366480858653879718e-04, -1.838709525230279885e-05, 1.903031992701747534e-04, 1.877928670998640177e-04, -2.431088664444932290e-06
3.654916326370000235e+01, 2.379006428175514925e-03, 1.933814600717979979e-03, -4.315060521705962513e-04, -1.660293735108732779e-05, 1.881503998043912462e-04, 1.856987033250014931e-04, -2.369158056759832185e-06
3.763641534770000163e+01, 2.330499786028794769e-03, 1.892203448474794915e-03, -4.263513468202269948e-04, -1.485614932911282442e-05, 1.860653295281874942e-04, 1.836762223144939839e-04, -2.303707275685332546e-06
3.872941863909999682e+01, 2.283464567773202392e-03, 1.852035954657802385e-03, -4.211842721722632542e-04, -1.315150379833344787e-05, 1.840408092208355021e-04, 1.817176180338532293e-04, -2.235323710776352540e-06
3.982820355999999862e+01, 2.237787468559497388e-03, 1.813194294842982671e-03, -4.160051412091685433e-04, -1.149289832438282497e-05, 1.820703878346922552e-04, 1.798158828422172445e-04, -2.164530432991037494e-06
4.093280069330000259e+01, 2.193366495568397495e-03, 1.775572747294207419e-03, -4.108142778290644562e-04, -9.883472147264412536e-06, 1.801482518851245038e-04, 1.779647082868412522e-04, -2.091793821618227705e-06
4.204324078369999995e+01, 2.150109606323367690e-03, 1.739076221632180263e-03, -4.056120171134290197e-04, -8.325707538380874924e-06, 1.782691479882785024e-04, 1.761584002591812573e-04, -2.017530052533989810e-06
4.315955473870000247e+01, 2.107933541444117174e-03, 1.703618996203995007e-03, -4.003987056348417336e-04, -6.821519266260362725e-06, 1.764283164262780144e-04, 1.743918061533185023e-04, -1.942110945338235295e-06
4.428177362880000345e+01, 2.066762820344497393e-03, 1.669123630573072494e-03, -3.951747017392435177e-04, -5.372332298045664667e-06, 1.746214339053575202e-04, 1.726602520917859941e-04, -1.865868834146612321e-06
4.540992868949999917e+01, 2.026528873374957521e-03, 1.635520025607135018e-03, -3.899403758630432416e-04, -3.979149333450400309e-06, 1.728445641022177508e-04, 1.709594886413922559e-04, -1.789101005972487307e-06
4.654405132099999776e+01, 1.987169289773279592e-03, 1.602744608450529891e-03, -3.846961108521792876e-04, -2.642610764424029765e-06, 1.710941147738200040e-04, 1.692856437120624706e-04, -1.712073573815929945e-06
4.768417308979999802e+01, 1.948627163132417382e-03, 1.570739623542492412e-03, -3.794423022725630082e-04, -1.363045255918971944e-06, 1.693668004247372372e-04, 1.676351815552612392e-04, -1.635024715788129842e-06
4.883032572949999661e+01, 1.910850520320050028e-03, 1.539452514059679988e-03, -3.741793587533119797e-04, -1.405152058841784791e-07, 1.676596097491224924e-04, 1.660048669698984921e-04, -1.558167770442462423e-06
4.998254114129999692e+01, 1.873791821553109915e-03, 1.508835380685559936e-03, -3.689077023265247609e-04, 1.025144387017473349e-06, 1.659697771252887581e-04, 1.643917339590009760e-04, -1.481693788231045235e-06
5.114085139529999680e+01, 1.837407521209494937e-03, 1.478844506745414936e-03, -3.636277687657412717e-04, 2.134292325671742495e-06, 1.642947575864727448e-04, 1.627930582104029943e-04, -1.405773818840197656e-06
5.230528873130000278e+01, 1.801657681304714813e-03, 1.449439940491994896e-03, -3.583400079595787575e-04, 3.187451496020022375e-06, 1.626322048210167661e-04, 1.612063328735332634e-04, -1.330561018408484879e-06
5.347588555950000000e+01, 1.766505630147050020e-03, 1.420585126735152571e-03, -3.530448842627327555e-04, 4.185283420509682566e-06, 1.609799517350484963e-04, 1.596292471818700235e-04, -1.256192429331324876e-06
5.465267446160000020e+01, 1.731917660123767633e-03, 1.392246581212690151e-03, -3.477428768796390554e-04, 5.128566232905452619e-06, 1.593359932850777557e-04, 1.580596675435440139e-04, -1.182790597611299880e-06
5.583568819159999919e+01, 1.697862759592207562e-03, 1.364393602086844993e-03, -3.424344802564100202e-04, 6.018175364477695486e-06, 1.576984712625727550e-04, 1.564956207775655131e-04, -1.110465008676999885e-06
5.702495967689999645e+01, 1.664312374400410020e-03, 1.336998013777847619e-03, -3.371202044549177833e-04, 6.855067043407640330e-06, 1.560656607540892378e-04, 1.549352792208970070e-04, -1.039313384153200097e-06
5.822052201889999878e+01, 1.631240195284822548e-03, 1.310033939031799962e-03, -3.318005755830224753e-04, 7.640263792252357673e-06, 1.544359581320010064e-04, 1.533769474700405109e-04, -9.694228228324203327e-07
5.942240849419999904e+01, 1.598621967960442425e-03, 1.283477595704759925e-03, -3.264761361903507409e-04, 8.374842228713174773e-06, 1.528078703056754838e-04, 1.518190505552907525e-04, -9.008708094391543059e-07
6.063065255539999754e+01, 1.566435323130770108e-03, 1.257307115242149850e-03, -3.211474457062090076e-04, 9.059922225383715147e-06, 1.511800051470542502e-04, 1.502601233747004718e-04, -8.337261499502213018e-07
6.184528783209999858e+01, 1.534659624051342569e-03, 1.231502380241397600e-03, -3.158150808758522369e-04, 9.696657761749360982e-06, 1.495510629112019828e-04, 1.486988012368672507e-04, -7.680498025320117807e-07
