# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
1.000000000000000056e-01, 2.308418955035412279e-01, 5.208299018410675330e-03, -5.495115513426045151e-02, -3.992302641405582470e-02, 2.700922908689092419e-02, 1.912450505277432378e-01, 1.736915048027832531e-01, 9.674723575393601172e-02, 8.594319980432123945e-03, 6.243780276504152897e-03, -1.506161779441399923e-02
9.944479457320000160e-01, 2.359317073822659871e-01, 6.267380597864192528e-03, -5.579115244151799935e-02, -3.970262957079415123e-02, 2.613568444849282552e-02, 1.945470102956927405e-01, 1.764193631675134988e-01, 1.008970413773380981e-01, 8.179937893229686369e-03, 5.820923057933210729e-03, -1.454210454444404901e-02
1.893627228199999957e+00, 2.375351103223677374e-01, 5.484683587475694573e-03, -5.564669049528697675e-02, -3.888581241936155120e-02, 2.532539720989432711e-02, 1.957222109131804832e-01, 1.771781068411747706e-01, 1.021699029663327429e-01, 8.115629367063380631e-03, 5.671009151217069541e-03, -1.444967118796362457e-02
2.797562874640000086e+00, 2.337641254175482353e-01, 5.097437137440850169e-03, -5.547959366522147578e-02, -3.809977796050489918e-02, 2.715023053519639851e-02, 1.968940211644727434e-01, 1.760036528199127592e-01, 9.463057693325704900e-02, 8.775707986213099679e-03, 6.026375516815741726e-03, -1.435725262239402437e-02
3.706280044650000161e+00, 2.335120961362662229e-01, 4.995536809858110334e-03, -5.529121509804604817e-02, -3.733610931140119576e-02, 2.727938333207417798e-02, 1.980841153937572541e-01, 1.761065110840347447e-01, 9.283356587959035178e-02, 8.973770083168013112e-03, 6.059421510476116837e-03, -1.426435925013387444e-02
4.619804030920000137e+00, 2.331986511886887659e-01, 4.975250597074190075e-03, -5.508620369152530255e-02, -3.658894751372297749e-02, 2.744043375782922317e-02, 1.992565816122032762e-01, 1.761698670113672482e-01, 9.097085384097727823e-02, 9.184397372788952879e-03, 6.100134096673885155e-03, -1.417103477343332682e-02
5.538160259939999719e+00, 2.329780595347392402e-01, 4.994350363845370330e-03, -5.486749849098822296e-02, -3.585519939885729868e-02, 2.753467085020277344e-02, 2.003849043835932431e-01, 1.762431267115849853e-01, 8.932808806359032738e-02, 9.380131689589066291e-03, 6.129511060823012239e-03, -1.407733109515014840e-02
6.461374292690000409e+00, 2.327955330426124958e-01, 5.033316870254117385e-03, -5.463701156997922276e-02, -3.513276689504969685e-02, 2.759073393169890129e-02, 2.014740430666077387e-01, 1.763071020468264805e-01, 8.780992106306957645e-02, 9.568575079171018002e-03, 6.152488348787675185e-03, -1.398326471462017426e-02
7.389471825360000246e+00, 2.326281031324889947e-01, 5.083091916014660476e-03, -5.439606981985097706e-02, -3.442014917030317839e-02, 2.761969202779999966e-02, 2.025255417515265111e-01, 1.763529963648204912e-01, 8.637766824179510250e-02, 9.752593749277402649e-03, 6.170801776468897923e-03, -1.388883981198719975e-02
8.322478690060000517e+00, 2.324633724706072213e-01, 5.139004058576274875e-03, -5.414563873621612566e-02, -3.371622851159797318e-02, 2.762657087412502543e-02, 2.035392543970192536e-01, 1.763754723838225069e-01, 8.501201825532994638e-02, 9.933433560344318014e-03, 6.185134975294819849e-03, -1.379405581627864835e-02
9.260420855570000498e+00, 2.322935018663692675e-01, 5.198446745892489930e-03, -5.388644937856834627e-02, -3.302014900105944978e-02, 2.761374359075512500e-02, 2.045140990730340280e-01, 1.763707663505962586e-01, 8.370213840576957998e-02, 1.011162684130612402e-02, 6.195733751731465414e-03, -1.369891064240470052e-02
1.020332442800000017e+01, 2.321128860479795275e-01, 5.259871356365442528e-03, -5.361907313696922389e-02, -3.233124139904924865e-02, 2.758230681836742679e-02, 2.054484798776757548e-01, 1.763359735396755057e-01, 8.244131877688962162e-02, 1.028735868944242494e-02, 6.202647564738004993e-03, -1.360340197090605108e-02
1.115121565159999939e+01, 2.319171387791607586e-01, 5.322308669695705562e-03, -5.334396806703944893e-02, -3.164897401090512735e-02, 2.753271497875544802e-02, 2.063405408133887620e-01, 1.762687393511614964e-01, 8.122499749358905174e-02, 1.046063561028215058e-02, 6.205836803774332847e-03, -1.350752772513162496e-02
1.210412090930000062e+01, 2.317026141930040029e-01, 5.385124416867180346e-03, -5.306150898893199908e-02, -3.097291921809992507e-02, 2.746509882285867732e-02, 2.071883275975202610e-01, 1.761671131354767550e-01, 8.004978775427920579e-02, 1.063137048516717663e-02, 6.205224385233427259e-03, -1.341128622117669991e-02
