# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
9.260420855570000498e+00, -1.171206388725155034e-01, 0.000000000000000000e+00, 1.139212031614990003e-02, -2.875287086642467835e-02, 2.567026583067000267e-02, 7.736227345370966886e-04, 9.678845655062700420e-03, -4.105106990670674694e-03, 7.162908803997372620e-02, 1.350384513932340047e-02, -1.546914054034215225e-01, 3.313004442050251908e-02, -8.147140619924629623e-03, 1.249147381397132557e-02, -2.158201981205527531e-01, 0.000000000000000000e+00, -1.136629982153844996e-02, 0.000000000000000000e+00
1.020332442800000017e+01, -1.131845949058189887e-01, 0.000000000000000000e+00, 1.159169143795682477e-02, -2.774705319906472373e-02, 2.481112280600059755e-02, 8.775329926922891422e-04, 9.110868792410378031e-03, -3.808590505665197367e-03, 6.805856320118422453e-02, 1.249601456198949981e-02, -1.520795181308180199e-01, 3.219658305051787545e-02, -8.518021860266384790e-03, 1.182282903170277580e-02, -2.085805585833669928e-01, 0.000000000000000000e+00, -1.168233805964997464e-02, 0.000000000000000000e+00
1.115121565159999939e+01, -1.096097297270972465e-01, 0.000000000000000000e+00, 1.173950264178427565e-02, -2.684108362811912091e-02, 2.404006861231109890e-02, 9.579049798670905523e-04, 8.606432178892614929e-03, -3.551768063638584706e-03, 6.488580620760214801e-02, 1.161483449624244914e-02, -1.496009846550285238e-01, 3.136111805097287902e-02, -8.844075294775557983e-03, 1.122734424242254926e-02, -2.018901542276509975e-01, 0.000000000000000000e+00, -1.193496186045457479e-02, 0.000000000000000000e+00
1.210412090930000062e+01, -1.063519314200842558e-01, 0.000000000000000000e+00, 1.184690885178132577e-02, -2.602175559603790017e-02, 2.334496303686935115e-02, 1.019853714152424949e-03, 8.156337676042301615e-03, -3.327809157044297420e-03, 6.205197502727734932e-02, 1.084011643419729998e-02, -1.472487314917217405e-01, 3.060956425360942396e-02, -9.131401677939996603e-03, 1.069441482463424908e-02, -1.956954149638297502e-01, 0.000000000000000000e+00, -1.213541129437669883e-02, 0.000000000000000000e+00
1.306206672379999922e+01, -1.033727745893507632e-01, 0.000000000000000000e+00, 1.192252897352057486e-02, -2.527771771953567573e-02, 2.271549612397042589e-02, 1.067326505673612310e-03, 7.752879802889967031e-03, -3.131219717550892592e-03, 5.950801366927639668e-02, 1.015530630762027063e-02, -1.450155215362647632e-01, 2.993007459987827648e-02, -9.385124037160744864e-03, 1.021518722706722497e-02, -1.899478580352242374e-01, 0.000000000000000000e+00, -1.229271980632602561e-02, 0.000000000000000000e+00
1.402507975800000040e+01, -1.006390665539784596e-01, 0.000000000000000000e+00, 1.197295721116944933e-02, -2.459928289499540080e-02, 2.214295670686924900e-02, 1.103377218027977403e-03, 7.389616804928625382e-03, -2.957571248978567349e-03, 5.721313647948190334e-02, 9.546830050531765477e-03, -1.428942622661725226e-01, 2.931272013276569818e-02, -9.609559176350302573e-03, 9.782277731025175102e-03, -1.846042338989334897e-01, 0.000000000000000000e+00, -1.241419348042972423e-02, 0.000000000000000000e+00
1.499318681579999968e+01, -9.812227231896887558e-02, 0.000000000000000000e+00, 1.200328836273537557e-02, -2.397821988092450202e-02, 2.162000187843225035e-02, 1.130378166113697475e-03, 7.061162737804135663e-03, -2.803281728026865271e-03, 5.513343277924787761e-02, 9.003533711704057863e-03, -1.408781768982925175e-01, 2.874919204292927452e-02, -9.808363964786466493e-03, 9.389523799030616291e-03, -1.796262499415482439e-01, 0.000000000000000000e+00, -1.250578569695897507e-02, 0.000000000000000000e+00
1.596641484290000079e+01, -9.579790839000479341e-02, 0.000000000000000000e+00, 1.201750026891992493e-02, -2.340754619084649962e-02, 2.114044271217217774e-02, 1.150181607337247454e-03, 6.763005815097329794e-03, -2.665440319185984758e-03, 5.324064972998637096e-02, 8.516218613027272052e-03, -1.389608887862824882e-01, 2.823253467420545199e-02, -9.984654736110062587e-03, 9.031769998758360993e-03, -1.749801124195097812e-01, 0.000000000000000000e+00, -1.257238475088224942e-02, 0.000000000000000000e+00
1.694479092759999972e+01, -9.364496429839264113e-02, 0.000000000000000000e+00, 1.201873146414327714e-02, -2.288133649818007570e-02, 2.069905473245529925e-02, 1.164241896663492475e-03, 6.491354502814235088e-03, -2.541668651978202728e-03, 5.151116719843727709e-02, 8.077263383433482338e-03, -1.371364535091617598e-01, 2.775691444620482715e-02, -1.014110305089392476e-02, 8.704688212024958710e-03, -1.706360167673447725e-01, 0.000000000000000000e+00, -1.261803374889580026e-02, 0.000000000000000000e+00
1.792834230149999897e+01, -9.164538102101547901e-02, 0.000000000000000000e+00, 1.200948339970395011e-02, -2.239455337822962577e-02, 2.029141556391544921e-02, 1.173707641796204902e-03, 6.243009746202835518e-03, -2.430011793531387451e-03, 4.992515256877509688e-02, 7.680320456981431891e-03, -1.353993606534532601e-01, 2.731742470110197496e-02, -1.028001213726749928e-02, 8.404629232090281288e-03, -1.665676512278534971e-01, 0.000000000000000000e+00, -1.264609924395910037e-02, 0.000000000000000000e+00
1.891709634000000051e+01, -8.978359644121056138e-02, 0.000000000000000000e+00, 1.199176875354459985e-02, -2.194290210575484956e-02, 1.991376865339519742e-02, 1.179491273046117360e-03, 6.015260205949616440e-03, -2.328852841206840042e-03, 4.846587256151150408e-02, 7.320073959778353873e-03, -1.337445188501547588e-01, 2.690992353539857843e-02, -1.040337803634260039e-02, 8.128501592544877530e-03, -1.627517427907879954e-01, 0.000000000000000000e+00, -1.265940146131535118e-02, 0.000000000000000000e+00
